"Node","n_tips","diff","overlaps","cluster"
572,548,1,59,1
636,229,13,33,2
878,217,36,12,3
764,101,42,9,4
767,89,48,8,5
578,57,11,5,6
698,29,52,5,7
727,38,77,5,8
579,55,14,4,9
699,27,48,4,10
734,31,76,4,11
899,129,54,4,12
700,25,64,3,13
735,23,83,3,14
789,55,73,3,15
583,27,30,2,16
680,19,78,2,17
701,20,69,2,18
736,21,88,2,19
790,53,79,2,20
902,121,63,2,21
708,13,81,1,22
743,14,89,1,23
768,13,72,1,24
793,45,83,1,25
864,15,54,1,26
881,18,69,1,27
1038,67,62,1,28
585,15,50,0,29
600,10,59,0,30
620,11,46,0,31
644,13,75,0,32
656,15,80,0,33
670,11,71,0,34
683,10,90,0,35
710,11,85,0,36
745,12,88,0,37
769,11,83,0,38
795,41,86,0,39
843,13,83,0,40
868,10,75,0,41
887,12,75,0,42
906,10,75,0,43
961,42,90,0,44
1057,23,80,0,45
1121,11,63,0,46
