"lineage","colour"
"A1","#08306B"
"A1.1","#083675"
"A1.1.1","#083D7F"
"A1.1.2","#084489"
"A1.1.3","#084B94"
"B1","#09529D"
"B1.1","#0E59A2"
"B1.1.1","#1360A7"
"B1.1.2","#1966AD"
"B1.1.3","#1E6DB2"
"B1.1.4","#2474B6"
"B1.1.5","#2B7BBA"
"B1.2","#3282BD"
"B1.2.1","#3989C1"
"B1.2.2","#4090C5"
"B1.3","#4896C8"
"B1.3.1","#519CCB"
"B1.4","#59A2CF"
"B1.4.1","#62A8D2"
"B1.6","#80B9DA"
"C1","#8BBFDC"
"C1.1","#95C5DF"
"C1.1.1","#A0CAE1"
"C1.1.2","#A8CEE4"
"C1.2","#B0D2E7"
"C1.3","#B9D5EA"
"AF1a_A1","#DE2D26"
"AF1a_A1.1","#E23C31"
"AF1a_A1.1.3","#F06B54"
"AF1a_A1.6","#FDC8B4"
"AF1a_A1.7","#FDD3C3"
"AF1b_A1","#756BB1"
"AF1b_A1.1","#7F77B7"
"AF1b_A1.1.1","#8A84BE"
"AF1b_B1","#9590C4"
"AF1b_B1.1","#A09DCB"
"AF1b_B1.1.1","#ABAAD2"
"AF1b_B1.2","#B6B6D8"
"AF1b_B1.2.1","#BFC0DD"
"AF1b_C1","#C7C8E1"
"AF1b_C1.1","#CFCFE5"
"AF1b_C1.1.1","#D7D6E9"
"AF1b_D1","#DFDEED"
"AF1b_D1.1","#E7E5F1"
"AF1b_E1","#EFEDF5"
"AF4_A1","#FFF7BC"
"AM1_A1","#1C9099"
"AM1_A1.1","#A6BDDB"
"AM1_A1.1.1","#ECE2F0"
"AM2a_A1","#F03B20"
"AM2a_A1.1","#F98A3D"
"AM2a_A1.1.1","#FEC568"
"AM2a_A1.2","#FFEDA0"
"AM3a_A1","#E34A33"
"AM3a_A1.1","#E86043"
"AM3a_A1.1.1","#ED7753"
"AM3a_A1.2","#F28D63"
"AM3a_A1.2.1","#F7A473"
"AM3a_A1.3","#FDBB84"
"AM3a_B1","#FDC391"
"AM3a_B1.1","#FDCC9F"
"AM3a_B1.1.1","#FDD6AC"
"AM3a_C1","#FDDFBA"
"AM3a_D1","#FEE8C8"
"AM3b_A1","#2B8CBE"
"AM3b_A1.1","#A6BDDB"
"AM3b_A1.1.1","#ECE7F2"
"AM4_A1","#FBB4AE"
"CA1_A1","#31A354"
"CA1_A1.1","#42AB5E"
"CA1_A1.1.1","#53B369"
"CA1_A1.2","#64BB74"
"CA1_A1.2.1","#75C47F"
"CA1_A1.3","#87CC8A"
"CA1_A1.4","#98D495"
"CA1_A1.5","#A6DBA0"
"CA1_B1","#B0DFAA"
"CA1_B1.1","#BBE3B5"
"CA1_B1.2","#C5E8C0"
"CA1_B1.3","#D0ECCA"
"CA1_C1","#DAF0D5"
"CA1_D1","#E5F5E0"
"CA2_A1","#636363"
"CA2_A1.1","#9F9F9F"
"CA2_A1.1.1","#CECECE"
"CA2_A1.2","#F0F0F0"
"CA3_A1","#43A2CA"
"CA3_A1.1","#75BFBF"
"CA3_A1.1.1","#A8DDB5"
"CA3_B1","#C3E8C8"
"CA3_B1.1","#E0F3DB"
"CE_A1","#E5F5F9"
"EE_A1","#C51B8A"
"EE_A1.1","#DF5D9F"
"EE_A1.1.1","#FA9FB5"
"EE_B1","#FBBFC9"
"EE_B1.1","#FDE0DD"
"ME1a_A1","#E6550D"
"ME1a_A1.1","#E9611A"
"ME1a_A1.1.1","#EC6E27"
"ME1a_A1.2","#EF7B35"
"ME1a_A1.2.1","#F38742"
"ME1a_A1.3","#F69450"
"ME1a_A1.4","#F9A15D"
"ME1a_A1.5","#FDAE6B"
"ME1a_A1.6","#FDB679"
"ME1a_B1","#FDBE87"
"ME1a_B1.1","#FDC695"
"ME1a_B1.1.1","#FDCEA3"
"ME1a_C1","#FDD6B1"
"ME1a_C1.1","#FDDEBF"
"ME1a_D1","#FEE6CE"
"ME2_A1","#8856A7"
"ME2_A1.1","#9EBCDA"
"ME2_A1.1.1","#E0ECF4"
"NEE_A1","#31A354"
"NEE_A1.1","#6FC071"
"NEE_A1.1.1","#ADDD8E"
"NEE_A1.2","#D2ECA3"
"NEE_A1.2.1","#F7FCB9"
"WE_A1","#DD1C77"
"WE_A1.1","#E7E1EF"
"Cosmopolitan_A1","#2C7FB8"
"Cosmopolitan_A1.1","#63B3BA"
"Cosmopolitan_A1.1.1","#A3DBB7"
"Cosmopolitan_A1.2","#EDF8B1"
"D1","#C1D9ED"
"D1.1","#C8DCEF"
"D1.1.1","#CDE0F1"
"E1","#D2E3F3"
"E1.1","#D7E6F4"
"F1","#DCEAF6"
"G1","#E1EDF8"
"H1","#E7F0F9"
"I1","#ECF4FB"
"J1","#F1F7FD"
"K1","#F7FBFF"
