"country","A1","A1.1","A1.1.1","A1.1.2","A1.1.3","B1","B1.1","B1.1.1","B1.1.2","B1.1.3","B1.1.4","B1.1.5","B1.2","B1.2.1","B1.2.2","B1.3","B1.3.1","B1.4","B1.4.1","B1.6","C1","C1.1","C1.1.1","C1.1.2","C1.2","C1.3","AF1a_A1","AF1a_A1.1","AF1a_A1.1.3","AF1a_A1.6","AF1a_A1.7","AF1b_A1","AF1b_A1.1","AF1b_A1.1.1","AF1b_B1","AF1b_B1.1","AF1b_B1.1.1","AF1b_B1.2","AF1b_B1.2.1","AF1b_C1","AF1b_C1.1","AF1b_C1.1.1","AF1b_D1","AF1b_D1.1","AF1b_E1","AF4_A1","AM1_A1","AM1_A1.1","AM1_A1.1.1","AM2a_A1","AM2a_A1.1","AM2a_A1.1.1","AM2a_A1.2","AM3a_A1","AM3a_A1.1","AM3a_A1.1.1","AM3a_A1.2","AM3a_A1.2.1","AM3a_A1.3","AM3a_B1","AM3a_B1.1","AM3a_B1.1.1","AM3a_C1","AM3a_D1","AM3b_A1","AM3b_A1.1","AM3b_A1.1.1","AM4_A1","CA1_A1","CA1_A1.1","CA1_A1.1.1","CA1_A1.2","CA1_A1.2.1","CA1_A1.3","CA1_A1.4","CA1_A1.5","CA1_B1","CA1_B1.1","CA1_B1.2","CA1_B1.3","CA1_C1","CA1_D1","CA2_A1","CA2_A1.1","CA2_A1.1.1","CA2_A1.2","CA3_A1","CA3_A1.1","CA3_A1.1.1","CA3_B1","CA3_B1.1","CE_A1","EE_A1","EE_A1.1","EE_A1.1.1","EE_B1","EE_B1.1","ME1a_A1","ME1a_A1.1","ME1a_A1.1.1","ME1a_A1.2","ME1a_A1.2.1","ME1a_A1.3","ME1a_A1.4","ME1a_A1.5","ME1a_A1.6","ME1a_B1","ME1a_B1.1","ME1a_B1.1.1","ME1a_C1","ME1a_C1.1","ME1a_D1","ME2_A1","ME2_A1.1","ME2_A1.1.1","NEE_A1","NEE_A1.1","NEE_A1.1.1","NEE_A1.2","NEE_A1.2.1","WE_A1","WE_A1.1","Cosmopolitan_A1","Cosmopolitan_A1.1","Cosmopolitan_A1.1.1","Cosmopolitan_A1.2","D1","D1.1","D1.1.1","E1","E1.1","F1","G1","H1","I1","J1","K1","LAT","LON","region","radius"
"Brazil",0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,4,9,10,18,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,5,9,3,8,6,21,10,17,10,7,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,-10.8067736434989,-53.0543400357671,"1",230
"Japan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.019075365944,136.881947315984,"2",0
"Zambia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.3950675200576,27.7275919399822,"3",9
"Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,19,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.8236825035482,102.946405186338,"4",41
"United States of America",0,0,0,0,0,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,1,3,0,0,0,0,39.5015541259931,-99.0602406280213,"5",47
"China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,3,17,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,36.6094323800447,103.865365256658,"6",42
"Ethiopia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,8.65399918813263,39.5512557929378,"7",6
"Cuba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6317515410252,-78.9606849097026,"8",35
"Iran",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,14,0,0,0,6,31,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5189173176254,54.2854514968914,"9",115
"Mexico",0,0,0,0,0,0,7,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,28,0,0,6,7,0,0,0,0,23.9353719022448,-102.576349523987,"10",81
