"cluster","country","year_first","year_last","max_distance","mean_distance","n_seqs"
"A1","c(""Algeria"", ""Gabon"", ""Madagascar"", ""Morocco"", ""Nigeria"", ""Russia"", ""Tunisia"")",1986,2018,81,48.9135802469136,18
"A1.1","c(""Grenada"", ""Montenegro"", ""Serbia"")",1978,2012,97,43.1111111111111,3
"A1.1.1","Serbia",1972,1997,40,20,2
"A1.1.2","c(""Iran"", ""Israel"", ""Turkey"")",1976,2013,40,18.8611111111111,12
"A1.1.3","c(""Egypt"", ""Israel"", ""Mexico"", ""United States"")",1950,2015,140,81.7854671280277,17
"AF1a_A1","c(""Ethiopia"", ""Kenya"", ""Somalia"")",1988,2018,53,30.7107438016529,11
"AF1b_A1","c(""Central African Republic"", ""Tanzania"")",1992,2011,56,24.8888888888889,3
"AF1b_A1.1","c(""Rwanda"", ""Tanzania"", ""Uganda"")",1994,2016,161,40.8641975308642,9
"AF1b_A1.1.1","Tanzania",2003,2018,379,37.4702037677816,51
"AF1b_A1.2","c(""Namibia"", ""South Africa"", ""Zimbabwe"")",1991,2017,41,23.9506172839506,18
"AF1b_A1.2.1","c(""Mozambique"", ""South Africa"", ""Tanzania"", ""Zimbabwe"")",1981,2017,33,21.0972222222222,12
"AF1b_A1.3","c(""Kenya"", ""Tanzania"")",1996,2018,351,39.1862003780718,46
"AF1b_A1.3.1","Tanzania",2011,2013,4,0.657844990548204,23
"AF1b_B1","Tanzania",2017,2018,3,1.33333333333333,3
"AF1b_B1.1","Tanzania",2010,2013,22,1.1156462585034,42
"AF1b_C1","South Africa",2012,2017,4,1.22222222222222,12
"AF1b_D1","Tanzania",2009,2017,9,3.46,10
"AF1b_E1","Tanzania",2010,2013,4,1.07438016528926,22
"AM2a_A1","Mexico",1991,2018,64,37.92,10
"B1","c(""Germany"", ""Hungary"", ""Russia"")",1991,2009,67,27.96875,8
"B1.1","c(""Azerbaijan"", ""Tajikistan"")",2002,2012,22,11,2
"C1","United States",2009,2009,30,15,2
"C1.1","c(""China"", ""Ethiopia"", ""United States"")",1948,2018,46,22.1428571428571,14
"CA1_A1","China",2011,2018,19,8.16,5
"CA1_A1.1","c(""Poland"", ""Russia"")",2008,2014,29,11.8367346938776,7
"CA1_A1.1.1","Russia",2003,2003,11,5.5,2
"CA1_B1","Iran",1974,2014,17,9.58677685950413,11
"CA2_A1","c(""Iran"", ""Iraq"", ""Russia"", ""Turkey"")",1993,2015,32,17.28,5
"CA2_A1.1","Iran",2008,2014,14,7.46,10
"CE_A1","c(""Czechia"", ""Germany"", ""Poland"")",1991,2018,19,9.84888888888889,15
"D1","c(""Brazil"", ""United States"")",1986,2018,95,64.6446280991736,11
"EE_A1","c(""Bosnia and Herzegovina"", ""Slovenia"")",1986,1994,3,1.5,2
"EE_A1.1","Hungary",1993,1996,12,6,2
"EE_A1.1.1","c(""Hungary"", ""Poland"", ""Serbia"")",1986,2010,30,15.6694214876033,11
"ME1a_A1","Israel",1993,1996,19,9.625,8
"ME1a_A1.1","Iran",2008,2013,5,2.5,2
"ME1a_A1.1.1","Iran",2008,2018,29,16,8
"ME1a_A1.2","Turkey",2000,2001,0,0,2
"ME1a_A1.2.1","c(""Oman"", ""Qatar"", ""Saudi Arabia"", ""United Arab Emirates"")",1987,2018,33,16.4378698224852,13
"ME1a_A1.3","Iran",1984,2014,28,16.0236686390533,13
"ME1a_B1","Iran",1996,2014,5,2.375,4
"ME1a_B1.1","Iran",2008,2014,17,6.54437869822485,26
"ME1a_B1.1.1","Iran",2009,2015,14,5.61777777777778,15
"ME2_A1","Turkey",1993,2001,1,0.408163265306122,7
"ME2_A1.1","c(""Iran"", ""Turkey"")",1989,2014,9,2.1875,8
"ME2_A1.1.1","Turkey",2001,2001,1,0.5,2
"ME2_B1","Turkey",1999,2015,6,2.77551020408163,7
"ME2_B1.1","Turkey",1999,2004,2,1,2
"ME2_B1.1.1","Turkey",2006,2014,13,4.33333333333333,12
"NEE_A1","c(""Estonia"", ""Poland"")",1991,1997,26,13.25,8
"NEE_A1.1","c(""Hungary"", ""Poland"")",2010,2017,10,3.44444444444444,6
"NEE_A1.1.1","Hungary",2013,2014,2,0.562222222222222,30
"NEE_A1.2","c(""Estonia"", ""Finland"", ""Poland"", ""Russia"")",1986,2018,15,7.18,10
"NEE_B1","Hungary",2013,2014,0,0,17
"WE_A1","c(""Belgium"", ""Bosnia and Herzegovina"", ""France"", ""Germany"", ""Serbia"", ""Slovenia"")",1986,1998,32,17.6804733727811,13
