"Node","n_tips","diff","overlaps","cluster"
570,544,1,105,1
571,541,63,104,2
572,539,75,103,3
631,231,104,49,4
876,215,348,35,5
877,212,437,34,6
898,127,552,25,7
900,119,632,23,8
634,90,242,19,9
723,101,346,18,10
724,99,374,17,11
725,97,394,16,12
920,99,724,14,13
739,55,587,9,14
741,52,726,7,15
823,38,664,7,16
576,54,76,6,17
742,49,747,6,18
830,31,680,6,19
577,50,112,5,20
694,29,404,5,21
743,45,798,5,22
831,23,768,5,23
695,27,474,4,24
747,41,895,4,25
832,21,397,4,26
901,16,704,4,27
931,49,806,4,28
676,19,647,3,29
696,25,572,3,30
748,39,905,3,31
862,15,587,3,32
938,42,837,3,33
677,15,673,2,34
697,20,606,2,35
863,13,688,2,36
881,17,805,2,37
939,42,859,2,38
1004,18,748,2,39
1108,20,372,2,40
581,16,494,1,41
704,13,680,1,42
749,18,961,1,43
841,12,853,1,44
940,40,869,1,45
1005,15,686,1,46
582,14,734,0,47
597,10,677,0,48
617,11,548,0,49
640,13,659,0,50
652,15,689,0,51
667,10,624,0,52
679,10,764,0,53
706,11,798,0,54
728,11,743,0,55
756,11,1010,0,56
767,15,970,0,57
793,13,814,0,58
805,10,692,0,59
842,10,901,0,60
866,10,1073,0,61
887,11,296,0,62
906,10,723,0,63
944,35,592,0,64
984,21,776,0,65
1010,10,825,0,66
1038,64,542,0,67
1118,10,557,0,68
