"node","n_tips","n_diff_ancestor","lineage","NA"
653,631,2,"A1",1
713,294,106,"A1.1",2
1021,239,186,"A1.2",3
716,151,207,"A1.1.1",4
866,103,867,"A1.1.2",5
1067,127,570,"Cosmopolitan AF1b_A1",6
1068,120,536,"Cosmopolitan AF1b_A1.1",7
1087,100,678,"Cosmopolitan AF1b_A1.1.1",8
884,55,703,"Cosmopolitan ME1a_A1",9
795,71,745,"Cosmopolitan NEE_A1",10
968,38,839,"Cosmopolitan ME2_A1",11
1097,91,692,"Cosmopolitan AF1b_B1",12
659,54,77,"A1.3",13
975,31,961,"Cosmopolitan ME2_A1.1",14
976,23,884,"Cosmopolitan ME2_A1.1.1",15
1043,24,607,"A1.2.1",16
718,34,356,"B1",17
1050,17,549,"C1",18
1070,16,727,"Cosmopolitan AF1b_A1.1.2",19
719,27,432,"B1.1",20
807,53,865,"Cosmopolitan NEE_A1.1",21
1007,15,412,"Cosmopolitan CA2_A1",22
813,47,961,"Cosmopolitan NEE_A1.1.1",23
1273,20,535,"Cosmopolitan AF1a_A1",24
664,16,492,"A1.3.1",25
729,13,785,"Cosmopolitan CA1_A1",26
781,15,700,"Cosmopolitan EE_A1",27
894,18,2131,"Cosmopolitan ME1a_A1.1",28
986,12,1142,"Cosmopolitan ME2_B1",29
1053,12,788,"C1.1",30
1100,49,746,"Cosmopolitan AF1b_B1.1",31
1172,18,689,"Cosmopolitan AF1b_B1.2",32
1203,64,516,"A1.2.2",33
679,10,678,"Cosmopolitan AM2a_A1",34
699,11,559,"A1.3.2",35
754,15,802,"Cosmopolitan CE_A1",36
769,13,770,"Cosmopolitan WE_A1",37
798,10,883,"Cosmopolitan NEE_A1.2",38
816,28,1005,"Cosmopolitan NEE_B1",39
843,17,1002,"Cosmopolitan NEE_C1",40
871,13,850,"D1",41
901,11,1001,"Cosmopolitan ME1a_A1.1.1",42
912,15,963,"Cosmopolitan ME1a_A1.2",43
938,13,776,"E1",44
950,10,1015,"F1",45
1027,17,597,"A1.2.3",46
1075,10,770,"Cosmopolitan AF1b_C1",47
1108,42,800,"Cosmopolitan AF1b_B1.1.1",48
1152,21,700,"Cosmopolitan AF1b_B1.3",49
1229,24,755,"G1",50
1283,10,725,"Cosmopolitan AF1a_A1.1",51
