"country","Cosmopolitan_A1","A1","A1.1","D1.1","E1","D1.1.2","B1.1","A1.1.1","AF1a_A1","AF1a_A1.1","AF1b_A1.4","AF1b_C1.1","AF1b_B1.1","AF1b_A1.3","AF1b_E1","AF1b_A1.3.1","AF1b_G1","AF1b_E1.1","AF1b_F1.1","AF1b_A1.1","AF1b_B1.1.1","AF1b_C1","AF1b_B1","AF1b_A1.2","AF1b_A1","AF1b_A1.1.1","AF1b_D1","AF1b_A1.2.1","AF1b_F1","AF1b_D1.1","C1","D1","AM2a_A1","D1.1.1","CA1_A1","CA1_A1.1","CA1_A1.1.1","CA2_A1.1","CA2_A1","CA2_A1.1.1","B1.1.1","CE_A1","EE_A1.1","EE_A1","ME1a_A1.1.2","ME1a_A1.1.4","ME1a_B1.1.1","ME1a_A1.1.3","ME1a_A1.1","ME1a_A1","ME1a_A1.1.1","ME1a_B1","ME1a_C1.1","ME1a_C1.1.1","ME1a_C1","ME1a_B1.1","ME1a_C1.2","B1.2","ME2_A1","ME2_B1","ME2_B1.1.1","ME2_B1.1","ME2_A1.1.1","ME2_A1.1","NEE_A1.1.2","NEE_A1.1","NEE_A1","NEE_A1.1.1","NEE_B1.1","NEE_B1","NEE_B1.2","WE_A1","B1","LAT","LON","region","radius"
"Brazil",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.8067736434989,-53.0543400357671,"1",8
"United States of America",1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5015541259931,-99.0602406280213,"2",10
"China",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6094323800447,103.865365256658,"3",8
"Russia",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61.6925647074083,99.2165267869252,"4",13
"France",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,46.6064633728632,2.33908864602935,"5",5
"Mexico",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9353719022448,-102.576349523987,"6",12
"Ethiopia",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65399918813263,39.5512557929378,"7",3
"Namibia",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.0997769317311,17.1561681261941,"8",5
"Estonia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,58.643695240707,25.8247283753199,"9",7
"Israel",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4849178149654,35.0038500487362,"10",11
