Slow bootstrap (60),,,,,,,,Ultrafast bootstrap (95),,,,,,,,Comment
cluster,country,year_first,year_last,max_distance,mean_distance,n_seqs,,cluster,country,year_first,year_last,max_distance,mean_distance,n_seqs,,
AF1b_A1.1.1,Tanzania,2011,2018,0.160868988,0.072147899,3,,AF1b_A1.1.1,Tanzania,2010,2018,0.161049548,0.072836271,5,,Combined
AF1b_B1,Tanzania,2010,2018,0.175237026,0.113234472,2,,,,,,,,,,
NEE_B1,Hungary,2013,2014,0.172609144,0.121627775,18,,NEE_B1,Hungary,2013,2014,0.161049548,0.073984053,29,,Combined (+1 from Nee_A1.1.1)
NEE_B1.1,Hungary,2013,2014,0.157121656,0.075545382,10,,,,,,,,,,
NEE_A1.1.1,"c(""Hungary"",""Poland"")",2010,2017,0.16200924,0.069162186,8,,NEE_A1.1.1,"c(""Hungary"", ""Poland"")",2010,2017,0.156951891,0.071622545,7,,"(-1, put in NEE_B1)"
CA1_A1,"c(""China"",""Poland"",""Russia"")",2008,2018,0.162002562,0.064318911,12,,CA1_A1,China,2011,2018,0.16212647,0.064374269,5,,Combined with one below
,,,,,,,,CA1_A1.1,"c(""Poland"", ""Russia"")",2008,2014,0.157294518,0.074449115,7,,
AF1b_A1.4,"c(""Namibia"",""SouthAfrica"")",1992,2017,0.162002562,0.064611383,17,,AF1b_A1.3.1,"c(""Namibia"", ""South Africa"")",1992,2017,0.162176565,0.066665596,12,,Combined with one below
,,,,,,,,AF1b_A1.3,South Africa,2015,2016,0.162176565,0.06708067,5,,
AF1b_A1.3,"c(""Kenya"",""Tanzania"")",1996,2018,0.162002562,0.064715193,36,,AF1b_A1.4,"c(""Kenya"", ""Tanzania"")",1996,2018,0.161049548,0.072188415,45,,Combined
AF1b_A1.3.1,Tanzania,2011,2017,0.1643794,0.064306394,9,,,,,,,,,,
AF1b_B1.1.1,Tanzania,2010,2018,0.162002562,0.064525254,10,,AF1b_B1.1.1,Tanzania,2017,2018,0.16212647,0.064671711,3,,Split
,,,,,,,,AF1b_B1.1,Tanzania,2010,2013,0.165203534,0.064371607,7,,
AF1b_F1,Tanzania,2011,2015,0.172609144,0.116685402,15,,AF1b_B1.2.1,Tanzania,2011,2012,0.175538882,0.095713264,5,,Split
,,,,,,,,AF1b_F1,Tanzania,2011,2015,0.159908652,0.064374804,10,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Slow bootstrap (70),,,,,,,,Ultrafast bootstrap (95),,,,,,,,Comment
cluster,country,year_first,year_last,max_distance,mean_distance,n_seqs,,cluster,country,year_first,year_last,max_distance,mean_distance,n_seqs,,
ME1a_C1,Iran,2009,2014,0.175403075,0.115305913,8,,ME1a_C1,Iran,2009,2012,0.165203534,0.064541693,2,,Combined
,,,,,,,,ME1a_C1.1,Iran,2010,2014,0.159908652,0.064107098,6,,
CA1_A1,"c(""China"", ""Poland"", ""Russia"")",2008,2018,0.158691377,0.063946163,12,,CA1_A1,China,2011,2018,0.16212647,0.064374269,5,,Combined
,,,,,,,,CA1_A1.1,"c(""Poland"", ""Russia"")",2008,2014,0.157294518,0.074449115,7,,
EE_A1,"c(""Bosnia and Herzegovina"", ""Hungary"", ""Slovenia"")",1986,1996,0.160435507,0.075806518,4,,EE_A1,Hungary,1993,1996,0.172774302,0.121713013,2,,Combined
,,,,,,,,EE_A1.1,"c(""Bosnia and Herzegovina"", ""Slovenia"")",1986,1994,0.15250027,0.081798363,2,,
NEE_B1.1,Hungary,2013,2014,0.157121656,0.075545382,28,,NEE_B1,Hungary,2013,2014,0.161049548,0.073984053,29,,(+1 from other B1
NEE_B1,Hungary,2013,2013,0.172609144,0.121627775,2,,,,,,,,,,
NEE_A1.1.1,"c(""Hungary"", ""Poland"")",2010,2017,0.16200924,0.069162186,6,,NEE_A1.1.1,"c(""Hungary"", ""Poland"")",2010,2017,0.156951891,0.071622545,7,,(+1 from other B1
AF1b_A1.4,"c(""Namibia"", ""South Africa"")",1992,2017,0.160868988,0.071995841,17,,AF1b_A1.3,South Africa,2015,2016,0.162176565,0.06708067,5,,Split
,,,,,,,,AF1b_A1.3.1,"c(""Namibia"", ""South Africa"")",1992,2017,0.162176565,0.066665596,12,,
AF1b_E1.1,Tanzania,2010,2013,0.158691377,0.063959469,42,,AF1b_D1,Tanzania,2012,2013,0.158815182,0.064010885,2,,Split
,,,,,,,,AF1b_D1.1.1,Tanzania,2010,2013,0.175418487,0.11825447,35,,
,,,,,,,,AF1b_D1.1,Tanzania,2011,2012,0.16212647,0.064432512,5,,
AF1b_F1.1,Tanzania,2011,2015,0.172609144,0.116685402,15,,AF1b_F1,Tanzania,2011,2015,0.159908652,0.064374804,10,,Split
,,,,,,,,AF1b_B1.2.1,Tanzania,2011,2012,0.175538882,0.095713264,5,,
AF1b_E1,Tanzania,2010,2018,0.15886047,0.075041684,10,,AF1b_B1.1.1,Tanzania,2017,2018,0.16212647,0.064671711,3,,Split
,,,,,,,,AF1b_B1.1,Tanzania,2010,2013,0.165203534,0.064371607,7,,
AF1b_B1.1,Tanzania,2008,2012,0.1643794,0.064306394,8,,AF1b_B1,Tanzania,2004,2012,0.165203534,0.064370906,11,,Combined
AF1b_B1.1.1,Tanzania,2004,2012,0.162002562,0.064611383,3,,,,,,,,,,
AF1b_A1,"c(""Central African Republic"", ""Tanzania"", ""Zimbabwe"")",1991,2011,0.160868988,0.072516107,4,,AF1b_A1,"c(""Central African Republic"", ""South Africa"", ""Tanzania"", ""Zimbabwe"")",1981,2011,0.163125307,0.07441971,5,,Mixed with below
AF1b_A1.2,"c(""South Africa"", ""Tanzania"", ""Zimbabwe"")",1981,2017,0.162002562,0.064715193,7,,AF1b_A1.2,"c(""South Africa"", ""Tanzania"", ""Zimbabwe"")",1992,2017,0.161049548,0.072551232,6,,Mixed with above
AF1b_B1,Tanzania,2010,2018,0.175403075,0.095636697,2,,AF1b_A1.1.1,Tanzania,2010,2018,0.161049548,0.072836271,5,,Mix 1
AF1b_A1.1.1,"c(""Tanzania"", ""Uganda"")",2009,2018,0.160868988,0.072147899,4,,AF1b_A1.1,"c(""Rwanda"", ""Tanzania"", ""Uganda"")",1994,2010,0.166069454,0.064689171,8,,Mix 2
AF1b_A1.1,"c(""Rwanda"", ""Tanzania"")",1994,2010,0.16200924,0.066606694,7,,,,,,,,,,Mix 3
AF1b_A1.3,"c(""Kenya"", ""Tanzania"")",1996,2018,0.1643794,0.06430645,44,,AF1b_A1.4,"c(""Kenya"", ""Tanzania"")",1996,2018,0.161049548,0.072188415,45,,(+1 from below
AF1b_A1.3.1,Tanzania,2010,2013,0.175237026,0.113234472,24,,AF1b_A1.4.1,Tanzania,2010,2013,0.16212647,0.064775276,23,,(-1 to above
