"Node","n_tips","diff","overlaps","cluster"
570,544,1,105,"A1"
571,541,63,104,"A1.1"
572,539,75,103,"A1.1.1"
631,231,104,49,"B1"
876,215,348,35,"C1"
877,212,437,34,"AF1b_A1"
898,127,552,25,"AF1b_A1.1"
900,119,632,23,"AF1b_A1.1.1"
634,90,242,19,"B1.1"
723,101,346,18,"B1.2"
724,99,374,17,"ME1a_A1"
725,97,394,16,"ME1a_A1.1"
920,99,724,14,"AF1b_B1"
739,55,587,9,"ME1a_A1.1.1"
741,52,726,7,"ME1a_B1"
823,38,664,7,"ME2_A1"
576,54,76,6,"D1"
742,49,747,6,"ME1a_B1.1"
830,31,680,6,"ME2_A1.1"
577,50,112,5,"D1.1"
694,29,404,5,"B1.1.1"
743,45,798,5,"ME1a_B1.1.1"
831,23,768,5,"ME2_A1.1.1"
695,27,474,4,"E1"
747,41,895,4,"ME1a_C1"
832,21,397,4,"ME2_B1"
901,16,704,4,"AF1b_C1"
931,49,806,4,"AF1b_B1.1"
676,19,647,3,"NEE_A1"
696,25,572,3,"CA1_A1"
748,39,905,3,"ME1a_C1.1"
862,15,587,3,"CA2_A1"
938,42,837,3,"AF1b_B1.1.1"
677,15,673,2,"NEE_A1.1"
697,20,606,2,"CA1_A1.1"
863,13,688,2,"CA2_A1.1"
881,17,805,2,"AF1b_A1.2"
939,42,859,2,"AF1b_D1"
1004,18,748,2,"AF1b_B1.2"
1108,20,372,2,"AF1a_A1"
581,16,494,1,"D1.1.1"
704,13,680,1,"CA1_A1.1.1"
749,18,961,1,"ME1a_C1.1.1"
841,12,853,1,"ME2_B1.1"
940,40,869,1,"AF1b_D1.1"
1005,15,686,1,"AF1b_B1.2.1"
582,14,734,0,"F1"
597,10,677,0,"AM2a_A1"
617,11,548,0,"D1.1.2"
640,13,659,0,"WE_A1"
652,15,689,0,"CE_A1"
667,10,624,0,"EE_A1"
679,10,764,0,"NEE_A1.1.1"
706,11,798,0,"CA1_B1"
728,11,743,0,"ME1a_A1.1.2"
756,11,1010,0,"ME1a_D1"
767,15,970,0,"ME1a_C1.1.2"
793,13,814,0,"ME1a_A1.1.3"
805,10,692,0,"ME1a_A1.1.4"
842,10,901,0,"ME2_B1.1.1"
866,10,1073,0,"CA2_A1.1.1"
887,11,296,0,"AF1b_A1.2.1"
906,10,723,0,"AF1b_C1.1"
944,35,592,0,"AF1b_D1.1.1"
984,21,776,0,"AF1b_B1.3"
1010,10,825,0,"AF1b_E1"
1038,64,542,0,"AF1b_A1.2"
1118,10,557,0,"AF1a_A1.1"
