"cluster","country","year_first","year_last","max_distance","mean_distance","n_seqs"
"A1","China",1931,2006,0.175403075,0.0751945508962618,3
"A1.1","Russia",2008,2014,0.175403075,0.0751934465280526,2
"A1.1.1","c(""Gabon"", ""Grenada"", ""Nigeria"")",1986,2018,0.175403075,0.0751992699583662,4
"B1","c(""Montenegro"", ""Serbia"")",1978,1978,0.1752370256,0.0721741696586018,2
"B1.1","c(""Germany"", ""Serbia"")",1972,1997,0.1629454408,0.0743837565727704,3
"B1.1.1","c(""Hungary"", ""Russia"")",1991,2009,0.1629454408,0.0743551878130892,7
"B1.2","Israel",1993,1993,0.1659420427,0.0646311970430718,2
"C1","Madagascar",1986,2004,0.1620092402,0.0679852025557535,3
"Cosmopolitan AF1a_A1","c(""Algeria"", ""Morocco"", ""Tunisia"")",1989,2018,0.1608689877,0.072769620220107,10
"Cosmopolitan AF1a_A1.1","c(""Ethiopia"", ""Kenya"", ""Somalia"")",1988,2018,0.1620092402,0.0670212957708652,11
"Cosmopolitan AF1b_A1","c(""Central African Republic"", ""Tanzania"", ""Zimbabwe"")",1991,2011,0.1608689877,0.0725161074285038,4
"Cosmopolitan AF1b_A1.1","c(""Rwanda"", ""Tanzania"")",1994,2010,0.1620092402,0.0666066941834421,7
"Cosmopolitan AF1b_A1.1.1","c(""Tanzania"", ""Uganda"")",2009,2018,0.1608689877,0.072147898885659,4
"Cosmopolitan AF1b_A1.2","c(""South Africa"", ""Tanzania"", ""Zimbabwe"")",1981,2017,0.1620025621,0.0647151931873818,7
"Cosmopolitan AF1b_A1.2.1","c(""Mozambique"", ""South Africa"", ""Zimbabwe"")",1986,2012,0.1608689877,0.0721221967672138,5
"Cosmopolitan AF1b_A1.3","c(""Kenya"", ""Tanzania"")",1996,2018,0.1643793997,0.0643064503633781,44
"Cosmopolitan AF1b_A1.3.1","Tanzania",2010,2013,0.1752370256,0.113234471969547,24
"Cosmopolitan AF1b_A1.4","c(""Namibia"", ""South Africa"")",1992,2017,0.1608689877,0.0719958407859238,17
"Cosmopolitan AF1b_B1","Tanzania",2010,2018,0.175403075,0.0956366973730598,2
"Cosmopolitan AF1b_B1.1","Tanzania",2008,2012,0.1643793997,0.0643063944983077,8
"Cosmopolitan AF1b_B1.1.1","Tanzania",2004,2012,0.1620025621,0.0646113828696213,3
"Cosmopolitan AF1b_C1","Tanzania",2003,2011,0.1752370256,0.112058541560432,6
"Cosmopolitan AF1b_C1.1","Tanzania",2009,2017,0.175403075,0.0968504520307569,10
"Cosmopolitan AF1b_D1","South Africa",2012,2015,0.1620025621,0.0645252535434568,2
"Cosmopolitan AF1b_D1.1","South Africa",2015,2017,0.1752370256,0.118164483847097,10
"Cosmopolitan AF1b_E1","Tanzania",2010,2018,0.1588604704,0.075041684441359,10
"Cosmopolitan AF1b_E1.1","Tanzania",2010,2013,0.1586913772,0.0639594685273575,42
"Cosmopolitan AF1b_F1","Tanzania",2015,2017,0.1620025621,0.0643715730611043,10
"Cosmopolitan AF1b_F1.1","Tanzania",2011,2015,0.172609144,0.116685402302234,15
"Cosmopolitan AF1b_G1","Tanzania",2010,2013,0.1588604704,0.0739191716310317,21
"Cosmopolitan AM2a_A1","Mexico",1991,2018,0.1564946451,0.074309068823,10
"Cosmopolitan CA1_A1","c(""China"", ""Poland"", ""Russia"")",2008,2018,0.1586913772,0.0639461630805185,12
"Cosmopolitan CA1_A1.1","Russia",2003,2003,0.1597842427,0.0643186665644035,2
