"Node","n_tips","diff","overlaps","cluster","group","temp"
653,631,2,105,"A1",1,72
654,628,63,104,"A1.1",2,71
655,626,78,103,"A1.1.1",3,70
713,294,106,51,"B1",4,37
1021,239,186,33,"C1",4,20
1022,236,244,32,"Cosmopolitan AF1b_A1",5,19
716,151,207,22,"B1.1",5,16
866,103,867,17,"B1.2",5,13
1067,127,570,17,"Cosmopolitan AF1b_A1.1",6,11
867,101,493,16,"Cosmopolitan ME1a_A1",6,12
1068,120,536,16,"Cosmopolitan AF1b_A1.1.1",7,10
868,99,514,15,"Cosmopolitan ME1a_A1.1",7,11
1087,100,678,9,"Cosmopolitan AF1b_B1",8,7
884,55,703,8,"Cosmopolitan ME1a_A1.1.1",8,7
1089,99,733,8,"Cosmopolitan AF1b_B1.1",9,6
795,71,745,7,"Cosmopolitan NEE_A1",6,6
968,38,839,7,"Cosmopolitan ME2_A1",5,5
1097,91,692,7,"Cosmopolitan AF1b_B1.1.1",10,5
659,54,77,6,"D1",4,5
796,67,772,6,"Cosmopolitan NEE_A1.1",7,5
886,52,720,6,"Cosmopolitan ME1a_B1",9,6
975,31,961,6,"Cosmopolitan ME2_A1.1",6,4
660,50,112,5,"D1.1",5,4
887,49,746,5,"Cosmopolitan ME1a_B1.1",10,5
976,23,884,5,"Cosmopolitan ME2_A1.1.1",7,3
1043,24,607,5,"Cosmopolitan AF1b_A1.2",6,3
718,34,356,4,"B1.1.1",6,4
888,45,798,4,"Cosmopolitan ME1a_B1.1.1",11,4
977,21,1022,4,"Cosmopolitan ME2_B1",8,2
1050,17,549,4,"Cosmopolitan AF1b_A1.2.1",7,2
1070,16,727,4,"Cosmopolitan AF1b_C1",8,1
719,27,432,3,"E1",7,3
807,53,865,3,"Cosmopolitan NEE_A1.1.1",8,3
892,41,877,3,"Cosmopolitan ME1a_C1",12,3
1007,15,412,3,"Cosmopolitan CA2_A1",4,2
721,25,689,2,"Cosmopolitan CA1_A1",8,2
813,47,961,2,"Cosmopolitan NEE_B1",9,2
1008,13,634,2,"Cosmopolitan CA2_A1.1",5,1
1273,20,535,2,"Cosmopolitan AF1a_A1",4,1
664,16,492,1,"D1.1.1",6,1
729,13,785,1,"Cosmopolitan CA1_A1.1",9,1
781,15,700,1,"Cosmopolitan EE_A1",6,1
894,18,2131,1,"Cosmopolitan ME1a_C1.1",13,1
986,12,1142,1,"Cosmopolitan ME2_B1.1",9,1
1053,12,788,1,"Cosmopolitan AF1b_D1",8,1
1100,49,746,1,"Cosmopolitan AF1b_E1",11,1
1172,18,689,1,"Cosmopolitan AF1b_F1",11,1
1203,64,516,1,"Cosmopolitan AF1b_A1.3",6,1
665,14,733,0,"Cosmopolitan_A1",7,0
679,10,678,0,"Cosmopolitan AM2a_A1",6,0
699,11,559,0,"D1.1.2",6,0
731,11,708,0,"Cosmopolitan CA1_A1.1.1",10,0
754,15,802,0,"Cosmopolitan CE_A1",6,0
769,13,770,0,"Cosmopolitan WE_A1",6,0
783,11,759,0,"Cosmopolitan EE_A1.1",7,0
798,10,883,0,"Cosmopolitan NEE_A1.1.2",8,0
816,28,1005,0,"Cosmopolitan NEE_B1.1",10,0
843,17,1002,0,"Cosmopolitan NEE_B1.2",10,0
871,13,850,0,"Cosmopolitan ME1a_A1.1.2",8,0
901,11,1001,0,"Cosmopolitan ME1a_C1.1.1",14,0
912,15,963,0,"Cosmopolitan ME1a_C1.2",13,0
938,13,776,0,"Cosmopolitan ME1a_A1.1.3",8,0
950,10,1015,0,"Cosmopolitan ME1a_A1.1.4",8,0
987,10,1152,0,"Cosmopolitan ME2_B1.1.1",10,0
1011,10,843,0,"Cosmopolitan CA2_A1.1.1",6,0
1027,17,597,0,"Cosmopolitan AF1b_A1.4",6,0
1055,10,800,0,"Cosmopolitan AF1b_D1.1",9,0
1075,10,770,0,"Cosmopolitan AF1b_C1.1",9,0
1108,42,800,0,"Cosmopolitan AF1b_E1.1",12,0
1152,21,700,0,"Cosmopolitan AF1b_G1",11,0
1173,15,773,0,"Cosmopolitan AF1b_F1.1",12,0
1229,24,755,0,"Cosmopolitan AF1b_A1.3.1",7,0
1283,10,725,0,"Cosmopolitan AF1a_A1.1",5,0
