"lineage","tips","distance","country","year_first","year_last"
"A1.1.1_E1","6","0.0788855273","character(0)","1972","1972"
"A1.2.2_E1","5","0.1091310252","character(0)","2012","2013"
"A1.2.2_E2","5","0.1068980404","character(0)","2013","2013"
"A1.2.3_E1","7","0.0966504998","character(0)","2017","2017"
"AF1a_A1_E1","7","0.0868991956999999","character(0)","2010","2010"
"AF1a_A1_E2","6","0.083923482","character(0)","2010","2010"
"AF1a_A1_E3","6","0.0868956753","character(0)","2010","2010"
"AF1a_A1.1_E1","9","0.0906241236","character(0)","2010","2010"
"AF1a_A1.1_E2","7","0.0913647815999999","character(0)","2010","2010"
"AF1a_A1.2_E1","7","0.0839113545","character(0)","2010","2010"
"AF1a_A1.2_E2","5","0.0831771201999999","character(0)","2010","2010"
"AF1a_A1.2_E3","5","0.0846688806999999","character(0)","2010","2010"
"AF1a_A1.2_E3","6","0.0869022055999999","character(0)","2010","2010"
"AF1a_A1.2_E3","5","0.0812585627","character(0)","2010","2010"
"AF1a_B1_E1","5","0.0943781714","character(0)","2010","2010"
"AF1b_A1_E1","6","0.0934745626","character(0)","2008","2010"
"AM2a_A1_E1","5","0.1185843028","Cuba","2000","2002"
"AM2a_A1_E2","6","0.1230279208","Cuba","2000","2002"
"AM2a_A1_E3","5","0.1257528695","Cuba","2000","2002"
"AM3b_A1_E1","5","0.1320411276","Brazil","2010","2010"
"CA1_A1_E1","7","0.1002910813","Mongolia","2017","2018"
"CA1_A1_E2","5","0.0890522597","character(0)","2012","2014"
"CA1_A1.1.1_E1","5","0.0950714727999999","Mongolia","2005","2008"
"CA2_A1_E1","6","0.0815064","Georgia","2015","2016"
"CA2_A1_E2","6","0.0792764086","Georgia","2015","2015"
"CA2_A1_E3","8","0.0788951028","Georgia","2015","2016"
"F1.1_E1","7","0.0847248668999999","Israel","1996","1998"
"NEE_D1.1.1_E1","7","0.0969254587","Serbia","1998","2000"
