"Node","n_tips","diff","overlaps","cluster"
569,531,5,53,1
574,227,1,31,2
576,89,16,15,3
577,87,2,14,4
872,230,2,10,5
705,88,12,8,6
665,38,4,5,7
816,57,5,5,8
637,27,3,4,9
666,31,4,4,10
817,55,5,4,11
638,25,3,3,12
667,23,2,3,13
708,54,7,3,14
876,140,5,3,15
618,19,142,2,16
639,20,3,2,17
668,21,2,2,18
709,52,7,2,19
821,27,5,2,20
640,13,3,1,21
671,14,2,1,22
712,44,7,1,23
781,13,170,1,24
802,15,5,1,25
879,132,23,1,26
1083,18,9,1,27
581,14,242,0,28
596,13,3,0,29
608,11,216,0,30
621,10,194,0,31
641,11,3,0,32
673,12,5,0,33
714,40,25,0,34
762,13,20,0,35
782,11,171,0,36
805,10,4,0,37
823,15,7,0,38
837,10,32,0,39
858,11,2,0,40
1001,10,92,0,41
1015,69,3,0,42
1086,12,9,0,43
1103,16,9,0,44
