"Node","n_tips","diff","overlaps","cluster"
569,544,36,93,1
573,497,40,89,2
840,231,44,42,3
576,215,50,34,4
577,212,55,33,5
581,127,56,19,6
583,119,3,17,7
843,101,9,16,8
844,99,10,15,9
845,97,10,14,10
943,90,72,14,11
944,88,5,13,12
847,79,13,11,13
588,99,2,8,14
849,55,6,8,15
1032,38,12,7,16
851,52,83,6,17
1033,31,13,6,18
591,89,2,5,19
721,64,33,5,20
852,49,83,5,21
1003,29,9,5,22
1034,23,8,5,23
592,49,6,4,24
700,16,3,4,25
724,61,7,4,26
853,45,83,4,27
1004,27,13,4,28
1035,21,8,4,29
593,42,15,3,30
725,53,7,3,31
854,41,23,3,32
985,19,7,3,33
1005,25,15,3,34
1071,15,43,3,35
594,42,85,2,36
789,17,79,2,37
809,20,35,2,38
986,15,7,2,39
1006,20,16,2,40
1072,13,27,2,41
595,40,85,1,42
727,50,2,1,43
857,18,25,1,44
1007,13,19,1,45
1038,12,10,1,46
599,35,85,0,47
705,10,10,0,48
728,48,2,0,49
791,11,90,0,50
811,10,46,0,51
829,11,47,0,52
858,11,10,0,53
879,15,7,0,54
903,13,101,0,55
925,10,6,0,56
948,15,12,0,57
976,10,26,0,58
988,10,7,0,59
1008,11,100,0,60
1039,10,24,0,61
1074,10,13,0,62
1088,11,24,0,63
1122,10,22,0,64
