"node","n_tips","cluster"
252,"48","Cosmopolitan AF1b_A1"
245,"61","Cosmopolitan AF1b_A1.1"
224,"200","Cosmopolitan AF1b_A1.1.1"
249,"52","Cosmopolitan AF1b_A1.2"
223,"203","Cosmopolitan AF1b_A1.3"
224,"200","Cosmopolitan AF1b_A1.3.1"
224,"200","Cosmopolitan AF1b_B1"
227,"113","Cosmopolitan AF1b_B1.1"
237,"111","Cosmopolitan AF1b_B1.1.1"
237,"111","Cosmopolitan AF1b_C1"
216,"215","Cosmopolitan AF1b_C1.1"
224,"200","Cosmopolitan AF1b_E1"
224,"200","Cosmopolitan AF1b_E1.1"
223,"203","Cosmopolitan AF1b_F1"
224,"200","Cosmopolitan AF1b_F1.1"
224,"200","Cosmopolitan AF1b_G1"
