"Node","n_tips","diff","overlaps","cluster","group","temp"
219,192,2,23,"A1",1,14
223,185,15,19,"A1.1",2,13
225,100,14,13,"Cosmopolitan AF1b_A1",3,8
227,99,19,12,"Cosmopolitan AF1b_A1.1",4,7
238,49,216,4,"Cosmopolitan AF1b_A1.1.1",5,4
245,42,318,3,"Cosmopolitan AF1b_B1",6,3
337,81,40,3,"A1.1.1",3,3
246,42,577,2,"Cosmopolitan AF1b_B1.1",7,2
400,16,122,2,"B1",4,2
247,40,1690,1,"Cosmopolitan AF1b_B1.1.1",8,1
404,12,310,1,"B1.1",5,1
251,35,1751,0,"Cosmopolitan AF1b_C1",9,0
289,21,295,0,"Cosmopolitan AF1b_A1.1.2",5,0
309,18,251,0,"Cosmopolitan AF1b_A1.1.3",5,0
406,10,1684,0,"Asian SEA1b_A1",6,0
