"ID","cluster"
"KY860612","Cosmopolitan ME2_A1.1"
"MK760711","Cosmopolitan ME2_A1.1"
"MK760714","Cosmopolitan ME2_A1.1"
"MK760717","Cosmopolitan ME2_A1.1"
"MK760718","Cosmopolitan ME2_A1.1"
"MK760730","Cosmopolitan ME2_A1.1"
"MK760743","Cosmopolitan ME2_A1.1"
"MK760746","Cosmopolitan ME2_A1.1"
"KY860607","Cosmopolitan ME2_A1.1.1"
"KY860608","Cosmopolitan ME2_A1.1.1"
"KY860583","Cosmopolitan ME2_B1"
"KY860585","Cosmopolitan ME2_B1"
"KY860586","Cosmopolitan ME2_B1"
"KY860587","Cosmopolitan ME2_B1"
"KY860590","Cosmopolitan ME2_B1"
"KY860595","Cosmopolitan ME2_B1"
"KY860603","Cosmopolitan ME2_B1"
"KY860584","Cosmopolitan ME2_B1"
"KY860588","Cosmopolitan ME2_B1"
"KY860592","Cosmopolitan ME2_B1.1"
"KY860593","Cosmopolitan ME2_B1.1"
"KY860589","Cosmopolitan ME2_B1.1.1"
"KY860591","Cosmopolitan ME2_B1.1.1"
"KY860594","Cosmopolitan ME2_B1.1.1"
"KY860596","Cosmopolitan ME2_B1.1.1"
"KY860597","Cosmopolitan ME2_B1.1.1"
"KY860598","Cosmopolitan ME2_B1.1.1"
"KY860599","Cosmopolitan ME2_B1.1.1"
"KY860600","Cosmopolitan ME2_B1.1.1"
"KY860601","Cosmopolitan ME2_B1.1.1"
"KY860602","Cosmopolitan ME2_B1.1.1"
"KX148162","Cosmopolitan ME2_A1"
"KX148163","Cosmopolitan ME2_A1"
"KX148164","Cosmopolitan ME2_A1"
"KX148165","Cosmopolitan ME2_A1"
"KX148166","Cosmopolitan ME2_A1"
"KX148167","Cosmopolitan ME2_A1"
"KY860609","Cosmopolitan ME2_A1"
