"ID","N","gap","Length_before","Length_after","Year","cluster"
"KX148115",0,116,12042,11926,1996,"28"
"KX148116",0,116,12042,11926,1996,"28"
"MF197742",0,427,12042,11615,2014,"28"
"KX148117",0,116,12042,11926,1997,"28"
"MG458306",0,118,12042,11924,2018,"28"
"KX148113",0,119,12042,11923,1991,"28"
"KX148114",0,117,12042,11925,1995,"28"
"KX148118",0,119,12042,11923,1994,"28"
"KX148122",0,2027,12042,10015,1991,"28"
"KX148123",0,408,12042,11634,1991,"28"
"KX148124",0,331,12042,11711,1991,"28"
"LT909547",0,319,12042,11723,2018,"28"
"KX148119",0,173,12042,11869,1993,"28"
"KX148120",0,179,12042,11863,1993,"28"
"KX148121",0,110,12042,11932,1993,"28"
"KX148129",0,119,12042,11923,1994,"29"
"KX148130",0,118,12042,11924,1994,"29"
"KX148131",0,117,12042,11925,1994,"29"
"KX148133",0,115,12042,11927,1986,"29"
"MG458310",0,117,12042,11925,1986,"29"
"KX148132",0,117,12042,11925,1994,"29"
"KX148134",0,115,12042,11927,1994,"29"
"EU293115",0,118,12042,11924,1991,"29"
"KX148127",0,115,12042,11927,1991,"29"
"KX148128",0,117,12042,11925,1992,"29"
"KX148125",0,119,12042,11923,1994,"29"
"KX148126",0,112,12042,11930,1996,"29"
"LN879481",0,117,12042,11925,1998,"29"
"KX148135",0,117,12042,11925,1991,"4"
"KX148136",0,119,12042,11923,1993,"30"
"KX148138",0,119,12042,11923,1993,"30"
"KX148139",0,119,12042,11923,1993,"30"
"KX148137",0,119,12042,11923,1993,"30"
"KX148140",0,119,12042,11923,1986,"30"
"MG458311",0,128,12042,11914,1998,"30"
"KX148141",0,115,12042,11927,1992,"30"
"KX148142",0,119,12042,11923,1994,"30"
"KX148143",0,119,12042,11923,1993,"30"
"KX148144",0,119,12042,11923,1994,"30"
"KX148145",0,119,12042,11923,1986,"30"
"KX148148",0,125,12042,11917,1992,"31"
"KX148149",0,246,12042,11796,1991,"31"
"LT909537",0,243,12042,11799,2018,"31"
"KF154997",1,244,12042,11797,2013,"31"
"LT909538",0,244,12042,11798,2018,"31"
"JQ944704",0,117,12042,11925,2009,"31"
"KX148150",0,119,12042,11923,1986,"31"
"LT909532",0,118,12042,11924,2018,"31"
"KX148146",0,119,12042,11923,1993,"31"
"KX148147",0,116,12042,11926,1988,"31"
"MF197743",0,119,12042,11923,2010,"16"
"KX148152",0,119,12042,11923,1996,"16"
"KX148153",0,110,12042,11932,1996,"16"
"KX148154",0,161,12042,11881,1997,"16"
"KX148151",0,116,12042,11926,1996,"16"
"KX148155",0,169,12042,11873,1993,"16"
"KX148156",0,119,12042,11923,1991,"16"
"KX148157",0,119,12042,11923,1993,"16"
"KX148158",0,119,12042,11923,1993,"16"
"MK760744",0,119,12042,11923,2014,"32"
"MK760755",0,128,12042,11914,2014,"32"
"MK760700",0,193,12042,11849,2012,"32"
"MK760706",0,157,12042,11885,2012,"32"
"MK760723",0,158,12042,11884,2013,"32"
"MK760712",0,119,12042,11923,2013,"32"
"MK760734",0,119,12042,11923,2013,"32"
"KX148159",0,119,12042,11923,1974,"32"
"MK760731",0,119,12042,11923,2014,"32"
"MK760753",0,119,12042,11923,2014,"32"
"MK760707",0,119,12042,11923,2012,"32"
"KT728348",0,175,12042,11867,2003,"21"
"KT728349",0,128,12042,11914,2003,"21"
"KC595281",0,119,12042,11923,2011,"17"
"KC595282",0,119,12042,11923,2011,"17"
"KC595283",0,119,12042,11923,2011,"17"
"MF197741",0,119,12042,11923,2008,"17"
