"ID","N","gap","Length_before","Length_after","Year","cluster"
"KF155002",0,0,11922,11922,2010,NA
"KR534217",0,0,11922,11922,2008,4
"KR534218",0,0,11922,11922,2008,4
"KR534219",0,0,11922,11922,2007,8
"KR534220",0,0,11922,11922,2008,4
"KR534228",0,9,11922,11913,2010,13
"KR534229",0,73,11922,11849,2010,5
"KR534230",0,37,11922,11885,2010,14
"KR534231",0,38,11922,11884,2010,13
"KR534232",0,0,11922,11922,2011,5
"KR534233",0,0,11922,11922,2011,5
"KR534234",0,0,11922,11922,2011,13
"KR534235",0,0,11922,11922,2011,11
"KR534236",0,0,11922,11922,2011,11
"KR534237",0,0,11922,11922,2011,11
"KR534238",0,57,11922,11865,2011,13
"KR534244",0,9,11922,11913,2011,10
"KR534245",0,0,11922,11922,2011,10
"KR534246",0,0,11922,11922,2011,10
"KR534247",0,0,11922,11922,2011,9
"KR534248",0,0,11922,11922,2011,10
"KR534249",0,5,11922,11917,2011,10
"KR534250",0,0,11922,11922,2011,11
"KR534251",0,0,11922,11922,2011,13
"KR534252",0,0,11922,11922,2011,8
"KR534253",0,1,11922,11921,2011,12
"KR534254",0,0,11922,11922,2011,9
"KR534256",0,2,11922,11920,2011,11
"KR906734",0,0,11922,11922,2008,8
"KR906735",0,19,11922,11903,2008,8
"KR906736",0,0,11922,11922,2008,8
"KR906737",1,3,11922,11918,2008,4
"KR906738",0,0,11922,11922,2004,4
"KR906739",0,0,11922,11922,2004,8
"KR906740",5,9,11922,11908,2009,1
"KR906741",0,0,11922,11922,2003,2
"KR906742",0,0,11922,11922,2009,NA
"KR906743",2,9,11922,11911,2010,13
"KR906744",0,9,11922,11913,2010,8
"KR906745",0,9,11922,11913,2010,3
"KR906746",0,47,11922,11875,2010,8
"KR906747",0,0,11922,11922,2010,8
"KR906748",0,0,11922,11922,2010,8
"KR906749",0,44,11922,11878,2010,2
"KR906750",0,68,11922,11854,2010,NA
"KR906751",0,8,11922,11914,2011,8
"KR906752",0,0,11922,11922,2011,8
"KR906753",0,0,11922,11922,2011,2
"KR906754",0,57,11922,11865,2011,NA
"KR906755",0,0,11922,11922,2011,10
"KR906756",1,0,11922,11921,2011,5
"KR906757",8,32,11922,11882,2010,8
"KR906758",2,97,11922,11823,2010,10
"KR906759",113,93,11922,11716,2010,13
"KR906760",0,3,11922,11919,2010,5
"KR906761",1,266,11922,11655,2010,1
"KR906762",0,9,11922,11913,2010,1
"KR906763",0,3,11922,11919,2010,8
"KR906764",0,8,11922,11914,2010,8
"KR906765",0,0,11922,11922,2010,8
"KR906766",0,9,11922,11913,2010,8
"KR906767",0,9,11922,11913,2011,1
"KR906768",0,44,11922,11878,2011,NA
"KR906769",1,0,11922,11921,2011,8
"KR906770",2,9,11922,11911,2011,14
"KR906771",0,0,11922,11922,2011,10
"KR906772",0,0,11922,11922,2011,5
"KR906773",0,0,11922,11922,2011,12
"KR906774",0,2,11922,11920,2011,13
"KR906775",0,68,11922,11854,2011,2
"KR906776",0,0,11922,11922,2011,14
"KR906777",0,0,11922,11922,2011,14
"KR906778",0,9,11922,11913,2011,12
"KR906779",1,3,11922,11918,2012,8
"KR906780",0,3,11922,11919,2011,12
"KR906781",0,0,11922,11922,2012,12
"KR906782",0,4,11922,11918,2012,7
"KR906783",0,0,11922,11922,2012,4
"KR906784",0,0,11922,11922,2012,14
"KR906785",0,1,11922,11921,2012,13
"KR906786",0,0,11922,11922,2012,4
"KR906787",0,0,11922,11922,2012,10
"KR906788",1,4,11922,11917,2012,11
"KR906789",0,0,11922,11922,2012,14
"KR906790",0,0,11922,11922,2012,8
"KR906791",746,106,11922,11070,2012,8
"KR906792",0,0,11922,11922,2012,11
"KX148206",0,121,11922,11801,1996,8
"KY210220",0,9,11922,11913,2008,4
"KY210221",147,10,11922,11765,2008,4
"KY210222",0,0,11922,11922,2009,4
"KY210223",0,9,11922,11913,2007,8
"KY210224",0,0,11922,11922,2010,11
"KY210225",0,0,11922,11922,2011,10
"KY210226",1,3,11922,11918,2011,11
"KY210227",0,9,11922,11913,2011,14
"KY210228",194,66,11922,11662,2011,4
"KY210229",0,0,11922,11922,2011,9
"KY210230",0,0,11922,11922,2011,11
"KY210231",0,0,11922,11922,2011,10
"KY210232",0,0,11922,11922,2011,10
"KY210233",0,0,11922,11922,2011,14
"KY210234",8,9,11922,11905,2011,10
"KY210235",0,0,11922,11922,2011,10
"KY210236",0,9,11922,11913,2011,11
"KY210237",0,2,11922,11920,2011,14
"KY210238",0,0,11922,11922,2011,9
"KY210239",0,0,11922,11922,2011,10
"KY210240",0,38,11922,11884,2011,14
"KY210241",0,17,11922,11905,2011,10
