ID	N	gap	Length_before	Length_after	Year	cluster
AB009663	0	16	11936	11920	1997	NA
AB044824	0	16	11936	11920	2000	NA
AB085828	0	383	11936	11553	2003	Cosmopolitan_A1
AB128149	0	16	11936	11920	2003	NA
AB839170	0	427	11936	11509	2013	Cosmopolitan_A1
DQ099524	0	230	11936	11706	2005	Cosmopolitan_A1
DQ099525	0	218	11936	11718	2005	Cosmopolitan_A1
DQ875050	0	133	11936	11803	2006	Cosmopolitan_A1
DQ875051	0	136	11936	11800	2006	A1
EF542830	0	10	11936	11926	2008	A1.1
FJ577895	0	14	11936	11922	2009	Cosmopolitan_A1
GQ412744	0	15	11936	11921	1931	A1
GQ918139	0	13	11936	11923	2010	Cosmopolitan_A1
GU565703	0	13	11936	11923	1948	Cosmopolitan_A1
GU565704	0	14	11936	11922	1948	Cosmopolitan_A1
HM535790	0	13	11936	11923	2010	Cosmopolitan_A1
HQ891318	0	13	11936	11923	2011	Cosmopolitan_A1
JN234411	0	15	11936	11921	1931	A1
JQ944709	0	13	11936	11923	2008	Cosmopolitan_A1
KM198893	0	10	11936	11926	2014	A1.1
KX708499	0	147	11936	11789	2015	D1.1
KX708500	0	146	11936	11790	2014	D1.1
KX708501	0	147	11936	11789	2013	D1.1
KY765901	0	17	11936	11919	2012	E1
LC325820	0	13	11936	11923	2018	Cosmopolitan_A1
LN879480	0	15	11936	11921	2002	E1
LT839616	0	13	11936	11923	2017	Cosmopolitan_A1
LT909530	0	16	11936	11920	2018	D1.1.2
LT909543	0	16	11936	11920	2018	D1.1.2
MG458312	0	17	11936	11919	1997	B1.1
MG458319	0	12	11936	11924	2012	A1.1.1
KF155001	0	132	11936	11804	2009	Cosmopolitan AF1a_A1
KP723638	0	134	11936	11802	2014	Cosmopolitan AF1a_A1.1
KX148193	0	132	11936	11804	2008	Cosmopolitan AF1a_A1
KX148194	0	131	11936	11805	1989	Cosmopolitan AF1a_A1
KX148195	0	132	11936	11804	2004	Cosmopolitan AF1a_A1
KX148196	0	132	11936	11804	1990	Cosmopolitan AF1a_A1
KX148197	0	132	11936	11804	2015	Cosmopolitan AF1a_A1
KX148198	0	133	11936	11803	1993	Cosmopolitan AF1a_A1.1
KX148199	0	133	11936	11803	1993	Cosmopolitan AF1a_A1.1
KX148200	0	132	11936	11804	1988	Cosmopolitan AF1a_A1.1
KX148201	0	134	11936	11802	1986	A1.1.1
KX148202	0	133	11936	11803	1995	A1.1.1
LT909529	0	133	11936	11803	2018	Cosmopolitan AF1a_A1
LT909531	0	132	11936	11804	2018	Cosmopolitan AF1a_A1.1
LT909535	0	133	11936	11803	2018	Cosmopolitan AF1a_A1
LT909542	0	133	11936	11803	2018	Cosmopolitan AF1a_A1
LT909546	0	133	11936	11803	2018	A1.1.1
LT909551	0	132	11936	11804	2018	Cosmopolitan AF1a_A1.1
MK981888	0	140	11936	11796	1993	Cosmopolitan AF1a_A1
MN726805	4	135	11936	11797	2017	Cosmopolitan AF1a_A1.1
MN726810	314	733	11936	10889	2015	Cosmopolitan AF1a_A1.1
MN726812	8	135	11936	11793	2017	Cosmopolitan AF1a_A1.1
MN726819	320	135	11936	11481	2013	Cosmopolitan AF1a_A1.1
MN726830	7	135	11936	11794	2018	Cosmopolitan AF1a_A1.1
JX473838	0	15	11936	11921	2009	Cosmopolitan AF1b_A1.4
JX473839	0	15	11936	11921	2009	Cosmopolitan AF1b_A1.4
JX473840	0	15	11936	11921	2009	Cosmopolitan AF1b_A1.4
JX473841	0	15	11936	11921	2009	Cosmopolitan AF1b_A1.4
KF155002	0	14	11936	11922	2010	Cosmopolitan AF1b_C1.1
KR534217	0	14	11936	11922	2008	Cosmopolitan AF1b_B1.1
KR534218	0	14	11936	11922	2008	Cosmopolitan AF1b_B1.1
KR534219	0	14	11936	11922	2007	Cosmopolitan AF1b_A1.3
KR534220	0	14	11936	11922	2008	Cosmopolitan AF1b_B1.1
KR534228	0	23	11936	11913	2010	Cosmopolitan AF1b_A1.3
KR534229	0	87	11936	11849	2010	Cosmopolitan AF1b_E1
KR534230	0	51	11936	11885	2010	Cosmopolitan AF1b_A1.3.1
KR534231	0	52	11936	11884	2010	Cosmopolitan AF1b_A1.3
KR534232	0	14	11936	11922	2011	Cosmopolitan AF1b_E1
KR534233	0	14	11936	11922	2011	Cosmopolitan AF1b_E1
KR534234	0	14	11936	11922	2011	Cosmopolitan AF1b_A1.3
KR534235	0	14	11936	11922	2011	Cosmopolitan AF1b_G1
KR534236	0	14	11936	11922	2011	Cosmopolitan AF1b_G1
KR534237	0	14	11936	11922	2011	Cosmopolitan AF1b_G1
KR534238	0	71	11936	11865	2011	Cosmopolitan AF1b_A1.3
KR534244	0	23	11936	11913	2011	Cosmopolitan AF1b_E1.1
KR534245	0	14	11936	11922	2011	Cosmopolitan AF1b_E1.1
KR534246	0	14	11936	11922	2011	Cosmopolitan AF1b_E1.1
KR534247	0	14	11936	11922	2011	Cosmopolitan AF1b_E1.1
KR534248	0	14	11936	11922	2011	Cosmopolitan AF1b_E1.1
KR534249	0	19	11936	11917	2011	Cosmopolitan AF1b_E1.1
KR534250	0	14	11936	11922	2011	Cosmopolitan AF1b_G1
KR534251	0	14	11936	11922	2011	Cosmopolitan AF1b_A1.3
