"","ID","lineage"
"1","KJ001509","Cosmopolitan AM2a_A1"
"2","FJ228525","Cosmopolitan AM2a_A1"
"3","FJ228523","Cosmopolitan AM2a_A1"
"4","FJ228524","Cosmopolitan AM2a_A1"
"5","AY854504","Cosmopolitan AM2a_A1"
"6","AY854506","Cosmopolitan AM2a_A1"
"7","AY854515","Cosmopolitan AM2a_A1"
"8","AY854520","Cosmopolitan AM2a_A1"
"9","AY854505","Cosmopolitan AM2a_A1"
"10","AY854507","Cosmopolitan AM2a_A1"
"11","AY854524","Cosmopolitan AM2a_A1"
"12","AY854525","Cosmopolitan AM2a_A1"
"13","AY854527","Cosmopolitan AM2a_A1"
"14","AY854529","Cosmopolitan AM2a_A1"
"15","AY854530","Cosmopolitan AM2a_A1"
"16","AY854534","Cosmopolitan AM2a_A1"
"17","AY854531","Cosmopolitan AM2a_A1"
"18","AY854536","Cosmopolitan AM2a_A1"
"19","AY854544","Cosmopolitan AM2a_A1"
"20","AY854545","Cosmopolitan AM2a_A1"
"21","AY854547","Cosmopolitan AM2a_A1"
"22","AY854546","Cosmopolitan AM2a_A1"
"23","AY854548","Cosmopolitan AM2a_A1"
"24","AY854560","Cosmopolitan AM2a_A1"
"25","AY854561","Cosmopolitan AM2a_A1"
"26","AY854562","Cosmopolitan AM2a_A1"
"27","AY854564","Cosmopolitan AM2a_A1"
"28","AY854578","Cosmopolitan AM2a_A1"
"29","AY854567","Cosmopolitan AM2a_A1"
"30","AY854569","Cosmopolitan AM2a_A1"
"31","AY854573","Cosmopolitan AM2a_A1"
"32","AY854574","Cosmopolitan AM2a_A1"
"33","AY854575","Cosmopolitan AM2a_A1"
"34","AY854576","Cosmopolitan AM2a_A1"
"35","AY854559","Cosmopolitan AM2a_A1"
"36","AY854550","Cosmopolitan AM2a_A1"
"37","AY854552","Cosmopolitan AM2a_A1"
"38","AY854554","Cosmopolitan AM2a_A1"
"39","AY854558","Cosmopolitan AM2a_A1"
"40","JF693453","Cosmopolitan AM2a_A1"
"41","JF693454","Cosmopolitan AM2a_A1"
"42","JF693455","Cosmopolitan AM2a_A1"
"43","EU086161","Cosmopolitan AM2a_A1"
"44","JF693449","Cosmopolitan AM2a_A1"
"45","JF693450","Cosmopolitan AM2a_A1"
"46","JF693451","Cosmopolitan AM2a_A1"
"47","JF693452","Cosmopolitan AM2a_A1"
