"","ID","lineage"
"1","JF973777","Cosmopolitan EE_A1.1.1"
"2","JF973808","Cosmopolitan EE_A1.1.1"
"3","JF973778","Cosmopolitan EE_A1.1.1"
"4","JF973809","Cosmopolitan EE_A1.1.1"
"5","JF973810","Cosmopolitan EE_A1.1.1"
"6","JF973780","Cosmopolitan EE_A1.1.1"
"7","JF973807","Cosmopolitan EE_A1.1.1"
"8","JF973806","Cosmopolitan EE_A1.1.1"
"9","JF973783","Cosmopolitan EE_A1.1.1"
"10","JF973788","Cosmopolitan EE_A1.1.1"
"11","JF973790","Cosmopolitan EE_A1.1.1"
"12","JF973789","Cosmopolitan EE_A1.1.1"
"13","JF973800","Cosmopolitan EE_A1.1.1"
"14","JF973787","Cosmopolitan EE_A1.1.1"
"15","JF973791","Cosmopolitan EE_A1.1.1"
"16","JF973794","Cosmopolitan EE_A1.1.1"
"17","JF973803","Cosmopolitan EE_A1.1.1"
"18","JF973805","Cosmopolitan EE_A1.1.1"
"19","JF973804","Cosmopolitan EE_A1.1.1"
"20","JN008440","Cosmopolitan EE_A1.1.1"
"21","JF973795","Cosmopolitan EE_A1.1.1"
"22","JF973801","Cosmopolitan EE_A1.1.1"
"23","U42704","Cosmopolitan EE_A1.1"
"24","JN008438","Cosmopolitan EE_A1.1"
"25","JF973796","Cosmopolitan EE_A1.1"
"26","JF973797","Cosmopolitan EE_A1.1"
"27","JF973799","Cosmopolitan EE_A1.1"
"28","JF973802","Cosmopolitan EE_A1.1"
"29","JF973798","Cosmopolitan EE_A1.1"
"30","JF973786","Cosmopolitan EE_A1"
"31","JF973785","Cosmopolitan EE_A1"
"32","JF973793","Cosmopolitan EE_A1"
"33","AY352474","Cosmopolitan NEE_A1.1.2"
"34","AY352475","Cosmopolitan NEE_A1.1.2"
"35","U22476","Cosmopolitan NEE_A1.1.2"
