"ID","cluster"
"KR906748","Cosmopolitan AF1b_A1"
"KR906752","Cosmopolitan AF1b_A1"
"KX148208","Cosmopolitan AF1b_A1"
"KT336433","Cosmopolitan AF1b_A1"
"MT454632","Cosmopolitan AF1b_A1.3"
"MT454633","Cosmopolitan AF1b_A1.3"
"MT454638","Cosmopolitan AF1b_A1.3"
"MT454640","Cosmopolitan AF1b_A1.3"
"MT454642","Cosmopolitan AF1b_A1.3"
"JX473838","Cosmopolitan AF1b_A1.3.1"
"JX473839","Cosmopolitan AF1b_A1.3.1"
"JX473840","Cosmopolitan AF1b_A1.3.1"
"JX473841","Cosmopolitan AF1b_A1.3.1"
"KX148103","Cosmopolitan AF1b_A1"
"KR906746","Cosmopolitan AF1b_A1.2"
"KR906747","Cosmopolitan AF1b_A1.2"
"KR906751","Cosmopolitan AF1b_A1.2"
"KR906757","Cosmopolitan AF1b_A1.2"
"KT336434","Cosmopolitan AF1b_A1.2"
"MT454644","Cosmopolitan AF1b_A1.2"
"KT336435","Cosmopolitan AF1b_A1.2.1"
"KT336437","Cosmopolitan AF1b_A1.2.1"
"MG458318","Cosmopolitan AF1b_A1.2.1"
"KT336436","Cosmopolitan AF1b_A1.2.1"
"KX148203","Cosmopolitan AF1b_A1.2.1"
"KX148204","Cosmopolitan AF1b_A1.3.1"
"MT454643","Cosmopolitan AF1b_A1.3.1"
"MT454645","Cosmopolitan AF1b_A1.3.1"
"MT454646","Cosmopolitan AF1b_A1.3.1"
"MT454647","Cosmopolitan AF1b_A1.3.1"
"MT454649","Cosmopolitan AF1b_A1.3.1"
"MT454650","Cosmopolitan AF1b_A1.3.1"
"MT454651","Cosmopolitan AF1b_A1.3.1"
"KR906735","Cosmopolitan AF1b_A1.1"
"KR906736","Cosmopolitan AF1b_A1.1"
"KR906763","Cosmopolitan AF1b_A1.1"
"KR906764","Cosmopolitan AF1b_A1.1"
"KR906765","Cosmopolitan AF1b_A1.1"
"KR906766","Cosmopolitan AF1b_A1.1"
"KX148205","Cosmopolitan AF1b_A1.1"
"LC029889","Cosmopolitan AF1b_A1.1"
"KR906745","Cosmopolitan AF1b_A1.1.1"
"KR906775","Cosmopolitan AF1b_A1.1.1"
"LT909536","Cosmopolitan AF1b_A1.1.1"
"MN726803","Cosmopolitan AF1b_A1.1.1"
"KR534217","Cosmopolitan AF1b_B1"
"KR534218","Cosmopolitan AF1b_B1"
"KR534220","Cosmopolitan AF1b_B1"
"KR906737","Cosmopolitan AF1b_B1"
"KR906738","Cosmopolitan AF1b_B1"
