taxa	attrib1
AB009663	Cosmopolitan
AB044824	Cosmopolitan
AB085828	Cosmopolitan
AB128149	Cosmopolitan
AB839170	Cosmopolitan
DQ099524	Cosmopolitan
DQ099525	Cosmopolitan
DQ875050	Cosmopolitan
DQ875051	Cosmopolitan
EF542830	Cosmopolitan
FJ577895	Cosmopolitan
GQ412744	Cosmopolitan
GQ918139	Cosmopolitan
GU565703	Cosmopolitan
GU565704	Cosmopolitan
HM535790	Cosmopolitan
HQ891318	Cosmopolitan
JN234411	Cosmopolitan
JQ944709	Cosmopolitan
KM198893	Cosmopolitan
KX708499	Cosmopolitan
KX708500	Cosmopolitan
KX708501	Cosmopolitan
KY765901	Cosmopolitan
LC325820	Cosmopolitan
LN879480	Cosmopolitan
LT839616	Cosmopolitan
LT909530	Cosmopolitan
LT909543	Cosmopolitan
MG458312	Cosmopolitan
MG458319	Cosmopolitan
KF155001	Cosmopolitan AF1a
KP723638	Cosmopolitan AF1a
KX148193	Cosmopolitan AF1a
KX148194	Cosmopolitan AF1a
KX148195	Cosmopolitan AF1a
KX148196	Cosmopolitan AF1a
KX148197	Cosmopolitan AF1a
KX148198	Cosmopolitan AF1a
KX148199	Cosmopolitan AF1a
KX148200	Cosmopolitan AF1a
KX148201	Cosmopolitan AF1a
KX148202	Cosmopolitan AF1a
LT909529	Cosmopolitan AF1a
LT909531	Cosmopolitan AF1a
LT909535	Cosmopolitan AF1a
LT909542	Cosmopolitan AF1a
LT909546	Cosmopolitan AF1a
LT909551	Cosmopolitan AF1a
MK981888	Cosmopolitan AF1a
MN726805	Cosmopolitan AF1a
MN726810	Cosmopolitan AF1a
MN726812	Cosmopolitan AF1a
MN726819	Cosmopolitan AF1a
MN726830	Cosmopolitan AF1a
JX473838	Cosmopolitan AF1b
JX473839	Cosmopolitan AF1b
JX473840	Cosmopolitan AF1b
JX473841	Cosmopolitan AF1b
KF155002	Cosmopolitan AF1b
KR534217	Cosmopolitan AF1b
KR534218	Cosmopolitan AF1b
KR534219	Cosmopolitan AF1b
KR534220	Cosmopolitan AF1b
KR534228	Cosmopolitan AF1b
KR534229	Cosmopolitan AF1b
KR534230	Cosmopolitan AF1b
KR534231	Cosmopolitan AF1b
KR534232	Cosmopolitan AF1b
KR534233	Cosmopolitan AF1b
KR534234	Cosmopolitan AF1b
KR534235	Cosmopolitan AF1b
KR534236	Cosmopolitan AF1b
KR534237	Cosmopolitan AF1b
KR534238	Cosmopolitan AF1b
KR534244	Cosmopolitan AF1b
KR534245	Cosmopolitan AF1b
KR534246	Cosmopolitan AF1b
KR534247	Cosmopolitan AF1b
KR534248	Cosmopolitan AF1b
KR534249	Cosmopolitan AF1b
KR534250	Cosmopolitan AF1b
KR534251	Cosmopolitan AF1b
KR534252	Cosmopolitan AF1b
KR534253	Cosmopolitan AF1b
KR534254	Cosmopolitan AF1b
KR534256	Cosmopolitan AF1b
KR906734	Cosmopolitan AF1b
KR906735	Cosmopolitan AF1b
KR906736	Cosmopolitan AF1b
KR906737	Cosmopolitan AF1b
KR906738	Cosmopolitan AF1b
KR906739	Cosmopolitan AF1b
KR906740	Cosmopolitan AF1b
KR906741	Cosmopolitan AF1b
KR906742	Cosmopolitan AF1b
KR906743	Cosmopolitan AF1b
KR906744	Cosmopolitan AF1b
KR906745	Cosmopolitan AF1b
KR906746	Cosmopolitan AF1b
KR906747	Cosmopolitan AF1b
KR906748	Cosmopolitan AF1b
KR906749	Cosmopolitan AF1b
KR906750	Cosmopolitan AF1b
KR906751	Cosmopolitan AF1b
KR906752	Cosmopolitan AF1b
KR906753	Cosmopolitan AF1b
KR906754	Cosmopolitan AF1b
KR906755	Cosmopolitan AF1b
KR906756	Cosmopolitan AF1b
KR906757	Cosmopolitan AF1b
KR906758	Cosmopolitan AF1b
KR906759	Cosmopolitan AF1b
KR906760	Cosmopolitan AF1b
KR906761	Cosmopolitan AF1b
KR906762	Cosmopolitan AF1b
KR906763	Cosmopolitan AF1b
KR906764	Cosmopolitan AF1b
KR906765	Cosmopolitan AF1b
KR906766	Cosmopolitan AF1b
KR906767	Cosmopolitan AF1b
KR906768	Cosmopolitan AF1b
KR906769	Cosmopolitan AF1b
KR906770	Cosmopolitan AF1b
KR906771	Cosmopolitan AF1b
KR906772	Cosmopolitan AF1b
KR906773	Cosmopolitan AF1b
KR906774	Cosmopolitan AF1b
KR906775	Cosmopolitan AF1b
KR906776	Cosmopolitan AF1b
KR906777	Cosmopolitan AF1b
KR906778	Cosmopolitan AF1b
KR906779	Cosmopolitan AF1b
KR906780	Cosmopolitan AF1b
KR906781	Cosmopolitan AF1b
KR906782	Cosmopolitan AF1b
KR906783	Cosmopolitan AF1b
KR906784	Cosmopolitan AF1b
KR906785	Cosmopolitan AF1b
KR906786	Cosmopolitan AF1b
KR906787	Cosmopolitan AF1b
KR906788	Cosmopolitan AF1b
KR906789	Cosmopolitan AF1b
KR906790	Cosmopolitan AF1b
KR906791	Cosmopolitan AF1b
KR906792	Cosmopolitan AF1b
KT336432	Cosmopolitan AF1b
KT336433	Cosmopolitan AF1b
KT336434	Cosmopolitan AF1b
KT336435	Cosmopolitan AF1b
KT336436	Cosmopolitan AF1b
KT336437	Cosmopolitan AF1b
KX148103	Cosmopolitan AF1b
KX148203	Cosmopolitan AF1b
KX148204	Cosmopolitan AF1b
KX148205	Cosmopolitan AF1b
KX148206	Cosmopolitan AF1b
KX148207	Cosmopolitan AF1b
KX148208	Cosmopolitan AF1b
KY210220	Cosmopolitan AF1b
KY210221	Cosmopolitan AF1b
KY210222	Cosmopolitan AF1b
KY210223	Cosmopolitan AF1b
KY210224	Cosmopolitan AF1b
KY210225	Cosmopolitan AF1b
KY210226	Cosmopolitan AF1b
KY210227	Cosmopolitan AF1b
KY210228	Cosmopolitan AF1b
KY210229	Cosmopolitan AF1b
KY210230	Cosmopolitan AF1b
KY210231	Cosmopolitan AF1b
KY210232	Cosmopolitan AF1b
KY210233	Cosmopolitan AF1b
KY210234	Cosmopolitan AF1b
KY210235	Cosmopolitan AF1b
KY210236	Cosmopolitan AF1b
KY210237	Cosmopolitan AF1b
KY210238	Cosmopolitan AF1b
KY210239	Cosmopolitan AF1b
KY210240	Cosmopolitan AF1b
KY210241	Cosmopolitan AF1b
KY210242	Cosmopolitan AF1b
KY210243	Cosmopolitan AF1b
KY210244	Cosmopolitan AF1b
KY210245	Cosmopolitan AF1b
KY210246	Cosmopolitan AF1b
KY210247	Cosmopolitan AF1b
KY210248	Cosmopolitan AF1b
KY210249	Cosmopolitan AF1b
KY210250	Cosmopolitan AF1b
KY210251	Cosmopolitan AF1b
KY210252	Cosmopolitan AF1b
KY210253	Cosmopolitan AF1b
KY210254	Cosmopolitan AF1b
KY210255	Cosmopolitan AF1b
KY210256	Cosmopolitan AF1b
KY210257	Cosmopolitan AF1b
KY210258	Cosmopolitan AF1b
KY210259	Cosmopolitan AF1b
KY210260	Cosmopolitan AF1b
KY210261	Cosmopolitan AF1b
KY210262	Cosmopolitan AF1b
KY210263	Cosmopolitan AF1b
KY210264	Cosmopolitan AF1b
KY210265	Cosmopolitan AF1b
KY210266	Cosmopolitan AF1b
KY210267	Cosmopolitan AF1b
KY210268	Cosmopolitan AF1b
KY210269	Cosmopolitan AF1b
KY210270	Cosmopolitan AF1b
KY210271	Cosmopolitan AF1b
KY210272	Cosmopolitan AF1b
KY210273	Cosmopolitan AF1b
KY210274	Cosmopolitan AF1b
KY210275	Cosmopolitan AF1b
KY210276	Cosmopolitan AF1b
KY210277	Cosmopolitan AF1b
KY210278	Cosmopolitan AF1b
KY210279	Cosmopolitan AF1b
KY210280	Cosmopolitan AF1b
KY210281	Cosmopolitan AF1b
KY210282	Cosmopolitan AF1b
KY210283	Cosmopolitan AF1b
KY210284	Cosmopolitan AF1b
KY210285	Cosmopolitan AF1b
KY210286	Cosmopolitan AF1b
KY210287	Cosmopolitan AF1b
KY210288	Cosmopolitan AF1b
KY210289	Cosmopolitan AF1b
KY210290	Cosmopolitan AF1b
KY210291	Cosmopolitan AF1b
KY210292	Cosmopolitan AF1b
KY210293	Cosmopolitan AF1b
KY210294	Cosmopolitan AF1b
KY210295	Cosmopolitan AF1b
KY210296	Cosmopolitan AF1b
KY210297	Cosmopolitan AF1b
KY210298	Cosmopolitan AF1b
KY210299	Cosmopolitan AF1b
KY210300	Cosmopolitan AF1b
KY210301	Cosmopolitan AF1b
KY210302	Cosmopolitan AF1b
KY210303	Cosmopolitan AF1b
KY210304	Cosmopolitan AF1b
KY210305	Cosmopolitan AF1b
KY210306	Cosmopolitan AF1b
KY210307	Cosmopolitan AF1b
KY210308	Cosmopolitan AF1b
KY210309	Cosmopolitan AF1b
KY210310	Cosmopolitan AF1b
KY210311	Cosmopolitan AF1b
LC029889	Cosmopolitan AF1b
LT909528	Cosmopolitan AF1b
LT909534	Cosmopolitan AF1b
LT909536	Cosmopolitan AF1b
MG458318	Cosmopolitan AF1b
MN726802	Cosmopolitan AF1b
MN726803	Cosmopolitan AF1b
MN726804	Cosmopolitan AF1b
MN726807	Cosmopolitan AF1b
MN726808	Cosmopolitan AF1b
MN726809	Cosmopolitan AF1b
MN726811	Cosmopolitan AF1b
MN726814	Cosmopolitan AF1b
MN726815	Cosmopolitan AF1b
MN726816	Cosmopolitan AF1b
MN726817	Cosmopolitan AF1b
MN726818	Cosmopolitan AF1b
MN726820	Cosmopolitan AF1b
MN726821	Cosmopolitan AF1b
MN726822	Cosmopolitan AF1b
MN726823	Cosmopolitan AF1b
MN726824	Cosmopolitan AF1b
MN726825	Cosmopolitan AF1b
MN726826	Cosmopolitan AF1b
MN726827	Cosmopolitan AF1b
MN726828	Cosmopolitan AF1b
MN726829	Cosmopolitan AF1b
MN726831	Cosmopolitan AF1b
MN726832	Cosmopolitan AF1b
MN726833	Cosmopolitan AF1b
MN726835	Cosmopolitan AF1b
MT454631	Cosmopolitan AF1b
MT454632	Cosmopolitan AF1b
MT454633	Cosmopolitan AF1b
MT454634	Cosmopolitan AF1b
MT454635	Cosmopolitan AF1b
MT454636	Cosmopolitan AF1b
MT454637	Cosmopolitan AF1b
MT454638	Cosmopolitan AF1b
MT454639	Cosmopolitan AF1b
MT454640	Cosmopolitan AF1b
MT454641	Cosmopolitan AF1b
MT454642	Cosmopolitan AF1b
MT454643	Cosmopolitan AF1b
MT454644	Cosmopolitan AF1b
MT454645	Cosmopolitan AF1b
MT454646	Cosmopolitan AF1b
MT454647	Cosmopolitan AF1b
MT454648	Cosmopolitan AF1b
MT454649	Cosmopolitan AF1b
MT454650	Cosmopolitan AF1b
MT454651	Cosmopolitan AF1b
MT454652	Cosmopolitan AF1b
MT454653	Cosmopolitan AF1b
MT454654	Cosmopolitan AF1b
KX148209	Cosmopolitan AF1c
KX148210	Cosmopolitan AF1c
KX148211	Cosmopolitan AF1c
KF154998	Cosmopolitan AF4
KX148101	Cosmopolitan AF4
MG458315	Cosmopolitan AF4
MG458316	Cosmopolitan AF4
MG458317	Cosmopolitan AF4
MK760768	Cosmopolitan AF4
MK760769	Cosmopolitan AF4
MK760770	Cosmopolitan AF4
AB645847	Cosmopolitan AM1
JQ685944	Cosmopolitan AM1
JQ685967	Cosmopolitan AM1
KX148213	Cosmopolitan AM1
HQ450386	Cosmopolitan AM2a
KT006769	Cosmopolitan AM2a
KX148102	Cosmopolitan AM2a
KX148110	Cosmopolitan AM2a
KX148111	Cosmopolitan AM2a
KX148112	Cosmopolitan AM2a
KX708502	Cosmopolitan AM2a
KX708503	Cosmopolitan AM2a
KX708504	Cosmopolitan AM2a
LT909544	Cosmopolitan AM2a
JQ685899	Cosmopolitan AM2b
JQ685943	Cosmopolitan AM2b
AB517659	Cosmopolitan AM3a
KC737850	Cosmopolitan AM3a
KX148214	Cosmopolitan AM3a
KX148215	Cosmopolitan AM3a
KX148216	Cosmopolitan AM3a
AB362483	Cosmopolitan AM3b
AB517660	Cosmopolitan AM3b
KM594039	Cosmopolitan AM3b
KX148217	Cosmopolitan AM3b
JQ685894	Cosmopolitan AM4
JQ685970	Cosmopolitan AM4
JQ944705	Cosmopolitan CA1
KC252633	Cosmopolitan CA1
KC595280	Cosmopolitan CA1
KC595281	Cosmopolitan CA1
KC595282	Cosmopolitan CA1
KC595283	Cosmopolitan CA1
KM016899	Cosmopolitan CA1
KP997032	Cosmopolitan CA1
KT728348	Cosmopolitan CA1
KT728349	Cosmopolitan CA1
KX148159	Cosmopolitan CA1
KY649620	Cosmopolitan CA1
MF172976	Cosmopolitan CA1
MF197741	Cosmopolitan CA1
MH267792	Cosmopolitan CA1
MK760700	Cosmopolitan CA1
MK760706	Cosmopolitan CA1
MK760707	Cosmopolitan CA1
MK760712	Cosmopolitan CA1
MK760723	Cosmopolitan CA1
MK760731	Cosmopolitan CA1
MK760734	Cosmopolitan CA1
MK760744	Cosmopolitan CA1
MK760753	Cosmopolitan CA1
MK760755	Cosmopolitan CA1
JQ944706	Cosmopolitan CA2
KF155000	Cosmopolitan CA2
KX148212	Cosmopolitan CA2
KY860610	Cosmopolitan CA2
MK760675	Cosmopolitan CA2
MK760676	Cosmopolitan CA2
MK760679	Cosmopolitan CA2
MK760682	Cosmopolitan CA2
MK760684	Cosmopolitan CA2
MK760690	Cosmopolitan CA2
MK760747	Cosmopolitan CA2
MK760756	Cosmopolitan CA2
MK760757	Cosmopolitan CA2
MK760760	Cosmopolitan CA2
MK760766	Cosmopolitan CA2
JQ944708	Cosmopolitan CA3
KX148160	Cosmopolitan CA3
MK598338	Cosmopolitan CA3
MK598339	Cosmopolitan CA3
MK598340	Cosmopolitan CA3
MK598341	Cosmopolitan CA3
MK598342	Cosmopolitan CA3
KX148113	Cosmopolitan CE
KX148114	Cosmopolitan CE
KX148115	Cosmopolitan CE
KX148116	Cosmopolitan CE
KX148117	Cosmopolitan CE
KX148118	Cosmopolitan CE
KX148119	Cosmopolitan CE
KX148120	Cosmopolitan CE
KX148121	Cosmopolitan CE
KX148122	Cosmopolitan CE
KX148123	Cosmopolitan CE
KX148124	Cosmopolitan CE
LT909547	Cosmopolitan CE
MF197742	Cosmopolitan CE
MG458306	Cosmopolitan CE
KX148136	Cosmopolitan EE
KX148137	Cosmopolitan EE
KX148138	Cosmopolitan EE
KX148139	Cosmopolitan EE
KX148140	Cosmopolitan EE
KX148141	Cosmopolitan EE
KX148142	Cosmopolitan EE
KX148143	Cosmopolitan EE
KX148144	Cosmopolitan EE
KX148145	Cosmopolitan EE
MG458311	Cosmopolitan EE
MK598343	Cosmopolitan EE
MK598344	Cosmopolitan EE
MK598345	Cosmopolitan EE
MK598398	Cosmopolitan EE
KX148168	Cosmopolitan ME1a
KX148169	Cosmopolitan ME1a
KX148170	Cosmopolitan ME1a
KX148171	Cosmopolitan ME1a
KX148172	Cosmopolitan ME1a
KX148173	Cosmopolitan ME1a
KX148174	Cosmopolitan ME1a
KX148175	Cosmopolitan ME1a
KX148176	Cosmopolitan ME1a
KX148177	Cosmopolitan ME1a
KX148178	Cosmopolitan ME1a
KX148179	Cosmopolitan ME1a
KX148180	Cosmopolitan ME1a
KX148181	Cosmopolitan ME1a
KX148182	Cosmopolitan ME1a
KX148183	Cosmopolitan ME1a
KX148184	Cosmopolitan ME1a
KX148185	Cosmopolitan ME1a
KX148186	Cosmopolitan ME1a
KX148187	Cosmopolitan ME1a
KX148188	Cosmopolitan ME1a
KX148189	Cosmopolitan ME1a
KX148190	Cosmopolitan ME1a
KY860604	Cosmopolitan ME1a
KY860605	Cosmopolitan ME1a
KY860606	Cosmopolitan ME1a
KY860611	Cosmopolitan ME1a
LT909526	Cosmopolitan ME1a
LT909533	Cosmopolitan ME1a
LT909540	Cosmopolitan ME1a
MK760667	Cosmopolitan ME1a
MK760668	Cosmopolitan ME1a
MK760669	Cosmopolitan ME1a
MK760670	Cosmopolitan ME1a
MK760671	Cosmopolitan ME1a
MK760672	Cosmopolitan ME1a
MK760673	Cosmopolitan ME1a
MK760674	Cosmopolitan ME1a
MK760677	Cosmopolitan ME1a
MK760678	Cosmopolitan ME1a
MK760680	Cosmopolitan ME1a
MK760681	Cosmopolitan ME1a
MK760683	Cosmopolitan ME1a
MK760685	Cosmopolitan ME1a
MK760686	Cosmopolitan ME1a
MK760687	Cosmopolitan ME1a
MK760688	Cosmopolitan ME1a
MK760689	Cosmopolitan ME1a
MK760691	Cosmopolitan ME1a
MK760692	Cosmopolitan ME1a
MK760693	Cosmopolitan ME1a
MK760694	Cosmopolitan ME1a
MK760695	Cosmopolitan ME1a
MK760696	Cosmopolitan ME1a
MK760697	Cosmopolitan ME1a
MK760698	Cosmopolitan ME1a
MK760699	Cosmopolitan ME1a
MK760701	Cosmopolitan ME1a
MK760703	Cosmopolitan ME1a
MK760704	Cosmopolitan ME1a
MK760705	Cosmopolitan ME1a
MK760708	Cosmopolitan ME1a
MK760709	Cosmopolitan ME1a
MK760710	Cosmopolitan ME1a
MK760713	Cosmopolitan ME1a
MK760715	Cosmopolitan ME1a
MK760716	Cosmopolitan ME1a
MK760719	Cosmopolitan ME1a
MK760720	Cosmopolitan ME1a
MK760721	Cosmopolitan ME1a
MK760722	Cosmopolitan ME1a
MK760724	Cosmopolitan ME1a
MK760725	Cosmopolitan ME1a
MK760726	Cosmopolitan ME1a
MK760727	Cosmopolitan ME1a
