"ID","N","gap","Length_before","Length_after","Year","cluster"
"KF155002",0,0,1353,1353,2010,NA
"KR534217",0,0,1353,1353,2008,NA
"KR534218",0,0,1353,1353,2008,NA
"KR534219",0,0,1353,1353,2007,2
"KR534220",0,0,1353,1353,2008,NA
"KR534228",0,0,1353,1353,2010,2
"KR534229",0,0,1353,1353,2010,NA
"KR534230",0,0,1353,1353,2010,2
"KR534231",0,0,1353,1353,2010,2
"KR534232",0,0,1353,1353,2011,NA
"KR534233",0,0,1353,1353,2011,NA
"KR534234",0,0,1353,1353,2011,2
"KR534235",0,0,1353,1353,2011,NA
"KR534236",0,0,1353,1353,2011,NA
"KR534237",0,0,1353,1353,2011,NA
"KR534238",0,0,1353,1353,2011,2
"KR534244",0,0,1353,1353,2011,3
"KR534245",0,0,1353,1353,2011,3
"KR534246",0,0,1353,1353,2011,3
"KR534247",0,0,1353,1353,2011,3
"KR534248",0,0,1353,1353,2011,3
"KR534249",0,0,1353,1353,2011,3
"KR534250",0,0,1353,1353,2011,NA
"KR534251",0,0,1353,1353,2011,2
"KR534252",0,0,1353,1353,2011,2
"KR534253",0,0,1353,1353,2011,NA
"KR534254",0,0,1353,1353,2011,3
"KR534256",0,0,1353,1353,2011,NA
"KR906734",0,0,1353,1353,2008,2
"KR906735",0,0,1353,1353,2008,1
"KR906736",0,0,1353,1353,2008,1
"KR906737",0,0,1353,1353,2008,NA
"KR906738",0,0,1353,1353,2004,NA
"KR906739",0,0,1353,1353,2004,2
"KR906740",0,0,1353,1353,2009,NA
"KR906741",0,0,1353,1353,2003,NA
"KR906742",0,0,1353,1353,2009,NA
"KR906743",0,0,1353,1353,2010,2
"KR906744",0,0,1353,1353,2010,2
"KR906745",0,0,1353,1353,2010,NA
"KR906746",0,0,1353,1353,2010,1
"KR906747",0,0,1353,1353,2010,1
"KR906748",0,0,1353,1353,2010,1
"KR906749",0,0,1353,1353,2010,NA
"KR906750",0,0,1353,1353,2010,NA
"KR906751",0,0,1353,1353,2011,1
"KR906752",0,0,1353,1353,2011,1
"KR906753",0,0,1353,1353,2011,NA
"KR906754",0,0,1353,1353,2011,NA
"KR906755",0,0,1353,1353,2011,3
"KR906756",0,0,1353,1353,2011,NA
"KR906757",0,0,1353,1353,2010,1
"KR906758",1,19,1353,1333,2010,3
"KR906759",0,0,1353,1353,2010,2
"KR906760",0,0,1353,1353,2010,NA
"KR906761",0,2,1353,1351,2010,NA
"KR906762",0,0,1353,1353,2010,NA
"KR906763",0,0,1353,1353,2010,1
"KR906764",0,0,1353,1353,2010,1
"KR906765",0,0,1353,1353,2010,1
"KR906766",0,0,1353,1353,2010,1
"KR906767",0,0,1353,1353,2011,NA
"KR906768",0,0,1353,1353,2011,NA
"KR906769",0,0,1353,1353,2011,4
"KR906770",0,0,1353,1353,2011,4
"KR906771",0,0,1353,1353,2011,3
"KR906772",0,0,1353,1353,2011,NA
"KR906773",0,0,1353,1353,2011,NA
"KR906774",0,0,1353,1353,2011,2
"KR906775",0,0,1353,1353,2011,NA
"KR906776",0,0,1353,1353,2011,4
"KR906777",0,0,1353,1353,2011,4
"KR906778",0,0,1353,1353,2011,NA
"KR906779",1,0,1353,1352,2012,2
"KR906780",0,0,1353,1353,2011,NA
"KR906781",0,0,1353,1353,2012,NA
"KR906782",0,0,1353,1353,2012,3
"KR906783",0,0,1353,1353,2012,NA
"KR906784",0,0,1353,1353,2012,4
"KR906785",0,0,1353,1353,2012,2
"KR906786",0,0,1353,1353,2012,NA
"KR906787",0,0,1353,1353,2012,3
"KR906788",0,0,1353,1353,2012,NA
"KR906789",0,0,1353,1353,2012,4
"KR906790",0,0,1353,1353,2012,2
"KR906791",50,0,1353,1303,2012,2
"KR906792",0,0,1353,1353,2012,NA
"KX148206",0,0,1353,1353,1996,2
"KY210220",0,0,1353,1353,2008,NA
"KY210221",6,0,1353,1347,2008,NA
"KY210222",0,0,1353,1353,2009,NA
"KY210223",0,0,1353,1353,2007,2
"KY210224",0,0,1353,1353,2010,NA
"KY210225",0,0,1353,1353,2011,3
"KY210226",0,0,1353,1353,2011,NA
"KY210227",0,0,1353,1353,2011,4
"KY210228",0,0,1353,1353,2011,NA
"KY210229",0,0,1353,1353,2011,3
"KY210230",0,0,1353,1353,2011,NA
"KY210231",0,0,1353,1353,2011,3
