"ID","N","gap","Length_before","Length_after","Year","cluster"
"KX148115",0,116,12042,11926,1996,56
"KX148116",0,116,12042,11926,1996,56
"MF197742",0,427,12042,11615,2014,56
"KX148117",0,116,12042,11926,1997,56
"MG458306",0,118,12042,11924,2018,56
"KX148113",0,119,12042,11923,1991,40
"KX148114",0,117,12042,11925,1995,40
"KX148118",0,119,12042,11923,1994,3
"KX148122",0,2027,12042,10015,1991,57
"KX148123",0,408,12042,11634,1991,57
"KX148124",0,331,12042,11711,1991,57
"LT909547",0,319,12042,11723,2018,57
"KX148119",0,173,12042,11869,1993,57
"KX148120",0,179,12042,11863,1993,57
"KX148121",0,110,12042,11932,1993,57
"KX148129",0,119,12042,11923,1994,58
"KX148130",0,118,12042,11924,1994,58
"KX148131",0,117,12042,11925,1994,58
"KX148133",0,115,12042,11927,1986,58
"MG458310",0,117,12042,11925,1986,58
"KX148132",0,117,12042,11925,1994,3
"KX148134",0,115,12042,11927,1994,3
"EU293115",0,118,12042,11924,1991,59
"KX148127",0,115,12042,11927,1991,59
"KX148128",0,117,12042,11925,1992,59
"KX148125",0,119,12042,11923,1994,59
"KX148126",0,112,12042,11930,1996,59
"LN879481",0,117,12042,11925,1998,3
"KX148135",0,117,12042,11925,1991,3
"KX148136",0,119,12042,11923,1993,60
"KX148138",0,119,12042,11923,1993,60
"KX148139",0,119,12042,11923,1993,60
"KX148137",0,119,12042,11923,1993,60
"KX148140",0,119,12042,11923,1986,60
"MG458311",0,128,12042,11914,1998,60
"KX148141",0,115,12042,11927,1992,41
"KX148142",0,119,12042,11923,1994,41
"KX148143",0,119,12042,11923,1993,28
"KX148144",0,119,12042,11923,1994,28
"KX148145",0,119,12042,11923,1986,28
"KX148148",0,125,12042,11917,1992,61
"KX148149",0,246,12042,11796,1991,61
"LT909537",0,243,12042,11799,2018,61
"KF154997",1,244,12042,11797,2013,61
"LT909538",0,244,12042,11798,2018,61
"JQ944704",0,117,12042,11925,2009,42
