"ID","cluster"
"KY860606","Cosmopolitan ME1a_A1"
"KY860611","Cosmopolitan ME1a_A1"
"MK760673","Cosmopolitan ME1a_A1.1.1"
"MK760710","Cosmopolitan ME1a_A1.1.1"
"LT909526","Cosmopolitan ME1a_A1.1.1"
"MK760669","Cosmopolitan ME1a_B1"
"MK760751","Cosmopolitan ME1a_B1"
"MK760759","Cosmopolitan ME1a_B1"
"MK760681","Cosmopolitan ME1a_B1.1"
"MK760683","Cosmopolitan ME1a_B1.1"
"MK760697","Cosmopolitan ME1a_B1.1"
"MK760763","Cosmopolitan ME1a_B1.1"
"KX148172","Cosmopolitan ME1a_A1.1.2"
"KY860604","Cosmopolitan ME1a_A1.1.4"
"KY860605","Cosmopolitan ME1a_A1.1.4"
"KX148173","Cosmopolitan ME1a_A1.1.2"
"KX148174","Cosmopolitan ME1a_A1.1.2"
"KX148175","Cosmopolitan ME1a_A1.1.2"
"KX148176","Cosmopolitan ME1a_A1.1.2"
"MN534896","Cosmopolitan ME1a_A1.1.2"
"MN534897","Cosmopolitan ME1a_A1.1.2"
"KX148168","Cosmopolitan ME1a_A1.1.2"
"KX148169","Cosmopolitan ME1a_A1.1.2"
"KX148170","Cosmopolitan ME1a_A1.1.2"
"KX148171","Cosmopolitan ME1a_A1.1.2"
"LT909533","Cosmopolitan ME1a_A1.1.2"
"LT909540","Cosmopolitan ME1a_A1.1.2"
"KX148186","Cosmopolitan ME1a_A1.1.3"
"MK760667","Cosmopolitan ME1a_A1.1.3"
"MK760668","Cosmopolitan ME1a_A1.1.3"
"MK760672","Cosmopolitan ME1a_A1.1.3"
"MK760678","Cosmopolitan ME1a_A1.1.3"
"MK760686","Cosmopolitan ME1a_A1.1.3"
"MK760688","Cosmopolitan ME1a_A1.1.3"
"MK760692","Cosmopolitan ME1a_A1.1.3"
"MK760709","Cosmopolitan ME1a_A1.1.3"
"MK760727","Cosmopolitan ME1a_A1.1.3"
"MK760728","Cosmopolitan ME1a_A1.1.3"
"MK760739","Cosmopolitan ME1a_A1.1.3"
"MK760764","Cosmopolitan ME1a_A1.1.3"
"KX148177","Cosmopolitan ME1a_A1.1.4"
"KX148178","Cosmopolitan ME1a_A1.1.4"
"KX148179","Cosmopolitan ME1a_A1.1.4"
"KX148180","Cosmopolitan ME1a_A1.1.4"
"KX148187","Cosmopolitan ME1a_A1.1"
"KX148188","Cosmopolitan ME1a_A1.1"
"KX148189","Cosmopolitan ME1a_A1.1"
"KX148190","Cosmopolitan ME1a_A1.1"
"MK760680","Cosmopolitan ME1a_A1.1"
"MK760687","Cosmopolitan ME1a_A1.1"
"MK760691","Cosmopolitan ME1a_A1.1"
"MK760719","Cosmopolitan ME1a_A1.1"
"KX148181","Cosmopolitan ME1a_A1.1.4"
"KX148182","Cosmopolitan ME1a_A1.1.4"
"KX148183","Cosmopolitan ME1a_A1.1.4"
"KX148184","Cosmopolitan ME1a_A1.1.4"
"KX148185","Cosmopolitan ME1a_B1.1.1"
"MK760695","Cosmopolitan ME1a_B1.1.1"
"MK760715","Cosmopolitan ME1a_B1.1.1"
"MK760742","Cosmopolitan ME1a_B1.1.1"
"MK760677","Cosmopolitan ME1a_C1"
"MK760701","Cosmopolitan ME1a_C1"
"MK760689","Cosmopolitan ME1a_C1.1"
"MK760698","Cosmopolitan ME1a_C1.1"
"MK760705","Cosmopolitan ME1a_C1.1"
"MK760716","Cosmopolitan ME1a_C1.1"
"MK760722","Cosmopolitan ME1a_C1.1"
"MK760750","Cosmopolitan ME1a_C1.1"
"MK760670","Cosmopolitan ME1a_C1.1.1"
"MK760674","Cosmopolitan ME1a_C1.1.1"
"MK760694","Cosmopolitan ME1a_C1.1.1"
"MK760724","Cosmopolitan ME1a_C1.1.1"
"MK760736","Cosmopolitan ME1a_C1.1.1"
"MK760737","Cosmopolitan ME1a_C1.1.1"
"MK760740","Cosmopolitan ME1a_C1.1.1"
"MK760671","Cosmopolitan ME1a_D1"
"MK760696","Cosmopolitan ME1a_D1"
"MK760699","Cosmopolitan ME1a_D1"
"MK760704","Cosmopolitan ME1a_D1"
"MK760720","Cosmopolitan ME1a_D1"
"MK760726","Cosmopolitan ME1a_D1"
"MK760738","Cosmopolitan ME1a_D1"
"MK760741","Cosmopolitan ME1a_D1"
"MK760745","Cosmopolitan ME1a_D1"
"MK760754","Cosmopolitan ME1a_D1"
"MK760758","Cosmopolitan ME1a_D1"
"MK760685","Cosmopolitan ME1a_C1.1.2"
"MK760693","Cosmopolitan ME1a_C1.1.2"
"MK760703","Cosmopolitan ME1a_C1.1.2"
"MK760708","Cosmopolitan ME1a_C1.1.2"
"MK760713","Cosmopolitan ME1a_C1.1.2"
"MK760721","Cosmopolitan ME1a_C1.1.2"
"MK760725","Cosmopolitan ME1a_C1.1.2"
"MK760732","Cosmopolitan ME1a_C1.1.2"
"MK760733","Cosmopolitan ME1a_C1.1.2"
"MK760748","Cosmopolitan ME1a_C1.1.2"
"MK760749","Cosmopolitan ME1a_C1.1.2"
"MK760752","Cosmopolitan ME1a_C1.1.2"
"MK760762","Cosmopolitan ME1a_C1.1.2"
"MK760765","Cosmopolitan ME1a_C1.1.2"
"MK760767","Cosmopolitan ME1a_C1.1.2"
