"ID","N","gap","Length_before","Length_after","Year","cluster"
"KF155002",0,2,11924,11922,2010,NA
"KR534217",0,2,11924,11922,2008,"Cosmopolitan AF1b_A1.1"
"KR534218",0,2,11924,11922,2008,"Cosmopolitan AF1b_A1.1"
"KR534219",0,2,11924,11922,2007,"A1.1.1"
"KR534220",0,2,11924,11922,2008,"Cosmopolitan AF1b_A1.1"
"KR534228",0,11,11924,11913,2010,"A1.1.1"
"KR534229",0,75,11924,11849,2010,"Cosmopolitan AF1b_A1.1.1"
"KR534230",0,39,11924,11885,2010,"A1.1.1"
"KR534231",0,40,11924,11884,2010,"A1.1.1"
"KR534232",0,2,11924,11922,2011,"Cosmopolitan AF1b_A1.1.1"
"KR534233",0,2,11924,11922,2011,"Cosmopolitan AF1b_A1.1.1"
"KR534234",0,2,11924,11922,2011,"A1.1.1"
"KR534235",0,2,11924,11922,2011,"Cosmopolitan AF1b_A1.1.2"
"KR534236",0,2,11924,11922,2011,"Cosmopolitan AF1b_A1.1.2"
"KR534237",0,2,11924,11922,2011,"Cosmopolitan AF1b_A1.1.2"
"KR534238",0,59,11924,11865,2011,"A1.1.1"
"KR534244",0,11,11924,11913,2011,"Cosmopolitan AF1b_C1"
"KR534245",0,2,11924,11922,2011,"Cosmopolitan AF1b_C1"
"KR534246",0,2,11924,11922,2011,"Cosmopolitan AF1b_C1"
"KR534247",0,2,11924,11922,2011,"Cosmopolitan AF1b_B1.1.1"
"KR534248",0,2,11924,11922,2011,"Cosmopolitan AF1b_C1"
"KR534249",0,7,11924,11917,2011,"Cosmopolitan AF1b_C1"
"KR534250",0,2,11924,11922,2011,"Cosmopolitan AF1b_A1.1.2"
"KR534251",0,2,11924,11922,2011,"A1.1.1"
"KR534252",0,2,11924,11922,2011,"A1.1.1"
"KR534253",0,3,11924,11921,2011,"Cosmopolitan AF1b_A1.1.3"
"KR534254",0,2,11924,11922,2011,"Cosmopolitan AF1b_B1.1.1"
"KR534256",0,4,11924,11920,2011,"Cosmopolitan AF1b_A1.1.2"
"KR906734",0,2,11924,11922,2008,"A1.1.1"
"KR906735",0,21,11924,11903,2008,"A1.1.1"
"KR906736",0,2,11924,11922,2008,"A1.1.1"
"KR906737",1,5,11924,11918,2008,"Cosmopolitan AF1b_A1.1"
"KR906738",0,2,11924,11922,2004,"Cosmopolitan AF1b_A1.1"
"KR906739",0,2,11924,11922,2004,"A1.1.1"
"KR906740",5,11,11924,11908,2009,"A1"
"KR906741",0,2,11924,11922,2003,"A1.1"
"KR906742",0,2,11924,11922,2009,NA
"KR906743",2,11,11924,11911,2010,"A1.1.1"
"KR906744",0,11,11924,11913,2010,"A1.1.1"
"KR906745",0,11,11924,11913,2010,"Cosmopolitan AF1b_A1"
"KR906746",0,49,11924,11875,2010,"B1"
"KR906747",0,2,11924,11922,2010,"B1"
"KR906748",0,2,11924,11922,2010,"B1.1"
"KR906749",0,46,11924,11878,2010,"A1.1"
"KR906750",0,70,11924,11854,2010,NA
"KR906751",0,10,11924,11914,2011,"B1"
"KR906752",0,2,11924,11922,2011,"B1.1"
"KR906753",0,2,11924,11922,2011,"A1.1"
"KR906754",0,59,11924,11865,2011,NA
"KR906755",0,2,11924,11922,2011,"Cosmopolitan AF1b_C1"
"KR906756",1,2,11924,11921,2011,"Cosmopolitan AF1b_A1.1.1"
"KR906757",8,34,11924,11882,2010,"B1"
"KR906758",2,99,11924,11823,2010,"Cosmopolitan AF1b_C1"
"KR906759",113,95,11924,11716,2010,"A1.1.1"
"KR906760",0,5,11924,11919,2010,"Cosmopolitan AF1b_A1.1.1"
"KR906761",1,268,11924,11655,2010,"A1"
"KR906762",0,11,11924,11913,2010,"A1"
"KR906763",0,5,11924,11919,2010,"A1.1.1"
"KR906764",0,10,11924,11914,2010,"A1.1.1"
"KR906765",0,2,11924,11922,2010,"A1.1.1"
"KR906766",0,11,11924,11913,2010,"A1.1.1"
"KR906767",0,11,11924,11913,2011,"A1"
"KR906768",0,46,11924,11878,2011,NA
"KR906769",1,2,11924,11921,2011,"A1.1.1"
"KR906770",2,11,11924,11911,2011,"A1.1.1"
"KR906771",0,2,11924,11922,2011,"Cosmopolitan AF1b_C1"
"KR906772",0,2,11924,11922,2011,"Cosmopolitan AF1b_A1.1.1"
"KR906773",0,2,11924,11922,2011,"Cosmopolitan AF1b_A1.1.3"
"KR906774",0,4,11924,11920,2011,"A1.1.1"
"KR906775",0,70,11924,11854,2011,"A1.1"
"KR906776",0,2,11924,11922,2011,"A1.1.1"
"KR906777",0,2,11924,11922,2011,"A1.1.1"
"KR906778",0,11,11924,11913,2011,"Cosmopolitan AF1b_A1.1.3"
"KR906779",1,5,11924,11918,2012,"A1.1.1"
"KR906780",0,5,11924,11919,2011,"Cosmopolitan AF1b_A1.1.3"
"KR906781",0,2,11924,11922,2012,"Cosmopolitan AF1b_A1.1.3"
"KR906782",0,6,11924,11918,2012,"Cosmopolitan AF1b_B1.1"
"KR906783",0,2,11924,11922,2012,"Cosmopolitan AF1b_A1.1"
"KR906784",0,2,11924,11922,2012,"A1.1.1"
"KR906785",0,3,11924,11921,2012,"A1.1.1"
"KR906786",0,2,11924,11922,2012,"Cosmopolitan AF1b_A1.1"
"KR906787",0,2,11924,11922,2012,"Cosmopolitan AF1b_C1"
"KR906788",1,6,11924,11917,2012,"Cosmopolitan AF1b_A1.1.2"
"KR906789",0,2,11924,11922,2012,"A1.1.1"
"KR906790",0,2,11924,11922,2012,"A1.1.1"
"KR906791",746,108,11924,11070,2012,"A1.1.1"
"KR906792",0,2,11924,11922,2012,"Cosmopolitan AF1b_A1.1.2"
"KX148206",0,123,11924,11801,1996,"A1.1.1"
