"ID","N","gap","Length_before","Length_after","Year","cluster"
"AB009663",0,1,1354,1353,1997,NA
"AB044824",0,1,1354,1353,2000,NA
"AB085828",0,1,1354,1353,2003,36
"AB128149",0,1,1354,1353,2003,NA
"AB839170",0,1,1354,1353,2013,36
"DQ099524",0,1,1354,1353,2005,36
"DQ099525",0,1,1354,1353,2005,36
"DQ875050",0,1,1354,1353,2006,36
"DQ875051",0,1,1354,1353,2006,NA
"EF542830",0,1,1354,1353,2008,1
"FJ577895",0,1,1354,1353,2009,36
"GQ412744",0,1,1354,1353,1931,NA
"GQ918139",0,1,1354,1353,2010,36
"GU565703",0,1,1354,1353,1948,36
"GU565704",0,1,1354,1353,1948,36
"HM535790",0,1,1354,1353,2010,36
"HQ891318",0,1,1354,1353,2011,36
"JN234411",0,1,1354,1353,1931,NA
"JQ944709",0,1,1354,1353,2008,36
"KM198893",0,1,1354,1353,2014,1
"KX708499",0,1,1354,1353,2015,11
"KX708500",0,1,1354,1353,2014,11
"KX708501",0,1,1354,1353,2013,11
"KY765901",0,1,1354,1353,2012,12
"LC325820",0,1,1354,1353,2018,36
"LN879480",0,1,1354,1353,2002,12
"LT839616",0,1,1354,1353,2017,36
"LT909530",0,1,1354,1353,2018,38
"LT909543",0,1,1354,1353,2018,38
"MG458312",0,1,1354,1353,1997,3
"MG458319",0,1,1354,1353,2012,2
"KF155001",0,1,1354,1353,2009,1
"KP723638",0,1,1354,1353,2014,55
"KX148193",0,1,1354,1353,2008,1
"KX148194",0,1,1354,1353,1989,1
"KX148195",0,1,1354,1353,2004,1
"KX148196",0,1,1354,1353,1990,1
"KX148197",0,1,1354,1353,2015,1
"KX148198",0,1,1354,1353,1993,55
"KX148199",0,1,1354,1353,1993,55
"KX148200",0,1,1354,1353,1988,55
"KX148201",0,1,1354,1353,1986,1
"KX148202",0,1,1354,1353,1995,1
"LT909529",0,1,1354,1353,2018,1
"LT909531",0,1,1354,1353,2018,55
"LT909535",0,1,1354,1353,2018,1
"LT909542",0,1,1354,1353,2018,1
"LT909546",0,1,1354,1353,2018,1
"LT909551",0,1,1354,1353,2018,55
"MK981888",0,1,1354,1353,1993,1
"MN726805",0,1,1354,1353,2017,55
"MN726810",2,1,1354,1351,2015,55
"MN726812",2,1,1354,1351,2017,55
