"ID","N","gap","Length_before","Length_after","Year","cluster"
"AB009663",0,116,12042,11926,1997,84
"AB044824",0,116,12042,11926,2000,84
"AB085828",0,427,12042,11615,2003,2
"AB128149",0,116,12042,11926,2003,84
"AB362483",0,118,12042,11924,2009,64
"AB517659",0,119,12042,11923,2012,108
"AB517660",0,117,12042,11925,2012,64
"AB645847",0,119,12042,11923,2012,3
"AB839169",0,2027,12042,10015,2013,2
"AB839170",0,408,12042,11634,2013,2
"DQ099524",0,331,12042,11711,2005,2
"DQ099525",0,319,12042,11723,2005,66
"DQ875050",0,173,12042,11869,2006,110
"DQ875051",0,179,12042,11863,2006,84
"EF542830",0,110,12042,11932,2008,53
"EU293115",0,119,12042,11923,1991,97
"FJ577895",0,118,12042,11924,2009,2
"GQ412744",0,117,12042,11925,1931,84
"GQ918139",0,115,12042,11927,2010,110
"GU565703",0,117,12042,11925,1948,2
"GU565704",0,117,12042,11925,1948,2
"HM535790",0,115,12042,11927,2010,110
"HQ450386",0,118,12042,11924,2011,67
"HQ891318",0,115,12042,11927,2011,110
"JN234411",0,117,12042,11925,1931,84
"JQ685894",0,119,12042,11923,1994,1
"JQ685899",0,112,12042,11930,2009,2
"JQ685943",0,117,12042,11925,2009,2
"JQ685944",0,117,12042,11925,1984,3
"JQ685967",0,119,12042,11923,2012,3
"JQ685970",0,119,12042,11923,1974,1
"JQ944704",0,119,12042,11923,2009,60
"JQ944705",0,119,12042,11923,2008,25
"JQ944706",0,119,12042,11923,2008,33
"JQ944708",0,128,12042,11914,2008,24
"JQ944709",0,115,12042,11927,2008,66
"JX473838",0,119,12042,11923,2009,80
"JX473839",0,119,12042,11923,2009,80
"JX473840",0,119,12042,11923,2009,80
"JX473841",0,119,12042,11923,2009,80
"KC252633",0,125,12042,11917,2011,102
"KC595280",0,246,12042,11796,2011,101
"KC595281",0,243,12042,11799,2011,101
"KC595282",1,244,12042,11797,2011,101
"KC595283",0,244,12042,11798,2011,101
"KC737850",0,117,12042,11925,2011,108
"KF154997",0,119,12042,11923,2013,99
"KF154998",0,118,12042,11924,1950,65
"KF155000",0,119,12042,11923,2010,33
"KF155001",0,116,12042,11926,2009,83
"KF155002",0,119,12042,11923,2010,72
"KM016899",0,119,12042,11923,2014,102
"KM198893",0,110,12042,11932,2014,53
"KM594039",0,161,12042,11881,2009,64
"KP723638",0,116,12042,11926,2014,82
"KP997032",0,169,12042,11873,2014,101
"KR534217",0,119,12042,11923,2008,21
"KR534218",0,119,12042,11923,2008,21
"KR534219",0,119,12042,11923,2007,50
"KR534220",0,119,12042,11923,2008,21
"KR534228",0,128,12042,11914,2010,76
"KR534229",0,193,12042,11849,2010,70
"KR534230",0,157,12042,11885,2010,38
"KR534231",0,158,12042,11884,2010,76
"KR534232",0,119,12042,11923,2011,70
"KR534233",0,119,12042,11923,2011,70
"KR534234",0,119,12042,11923,2011,76
"KR534235",0,119,12042,11923,2011,22
"KR534236",0,119,12042,11923,2011,22
"KR534237",0,119,12042,11923,2011,22
"KR534238",0,175,12042,11867,2011,50
"KR534244",0,128,12042,11914,2011,42
"KR534245",0,119,12042,11923,2011,34
"KR534246",0,119,12042,11923,2011,34
"KR534247",0,119,12042,11923,2011,30
"KR534248",0,119,12042,11923,2011,42
"KR534249",0,125,12042,11917,2011,42
"KR534250",0,119,12042,11923,2011,22
"KR534251",0,119,12042,11923,2011,50
"KR534252",0,119,12042,11923,2011,51
