"","ID","N","gap","Length_before","Length_after","Year","cluster","country"
"1","KY210250",0,116,12042,11926,2012,"AF1b_C1.1.1","Tanzania"
"2","KY210251",0,116,12042,11926,2012,"AF1b_C1.1.1","Tanzania"
"3","KY210247",0,427,12042,11615,2012,"AF1b_C1.1.1","Tanzania"
"4","KY210272",0,116,12042,11926,2013,"AF1b_C1.1.1","Tanzania"
"5","KY210290",0,118,12042,11924,2012,"AF1b_C1.1.1","Tanzania"
"6","KY210239",0,119,12042,11923,2011,"AF1b_C1.1.1","Tanzania"
"7","KY210246",0,117,12042,11925,2012,"AF1b_C1.1.1","Tanzania"
"8","KR906787",0,119,12042,11923,2012,"AF1b_C1.1.1","Tanzania"
"9","KY210300",0,2027,12042,10015,2012,"AF1b_C1.1.1","Tanzania"
"10","KY210258",0,408,12042,11634,2013,"AF1b_C1.1.1","Tanzania"
"11","KR534249",0,331,12042,11711,2011,"AF1b_C1.1.1","Tanzania"
"12","KY210231",0,319,12042,11723,2011,"AF1b_C1.1.1","Tanzania"
"13","KR534248",0,173,12042,11869,2011,"AF1b_C1.1.1","Tanzania"
"14","KY210235",0,179,12042,11863,2011,"AF1b_C1.1.1","Tanzania"
"15","KY210271",0,110,12042,11932,2013,"AF1b_C1.1.1","Tanzania"
"16","KY210232",0,119,12042,11923,2011,"AF1b_C1.1.1","Tanzania"
"17","KY210241",0,118,12042,11924,2011,"AF1b_C1.1.1","Tanzania"
"18","KY210243",0,117,12042,11925,2011,"AF1b_C1.1.1","Tanzania"
"19","KY210234",0,115,12042,11927,2011,"AF1b_C1.1.1","Tanzania"
"20","KR534244",0,117,12042,11925,2011,"AF1b_C1.1.1","Tanzania"
"21","KR906755",0,117,12042,11925,2011,"AF1b_C1.1.1","Tanzania"
"22","KR906758",0,115,12042,11927,2010,"AF1b_C1.1.1","Tanzania"
"23","KY210225",0,118,12042,11924,2011,"AF1b_C1.1.1","Tanzania"
"24","KY210260",0,115,12042,11927,2013,"AF1b_F1","Tanzania"
"25","KY210292",0,117,12042,11925,2012,"AF1b_F1","Tanzania"
"26","KY210293",0,119,12042,11923,2012,"AF1b_F1","Tanzania"
"27","KY210249",0,112,12042,11930,2012,"AF1b_F1","Tanzania"
"28","KY210289",0,117,12042,11925,2012,"AF1b_F1","Tanzania"
"29","KY210307",0,117,12042,11925,2012,"AF1b_F1","Tanzania"
"30","KY210299",0,119,12042,11923,2012,"AF1b_F1","Tanzania"
"31","KY210301",0,119,12042,11923,2012,"AF1b_F1","Tanzania"
"32","KY210302",0,119,12042,11923,2012,"AF1b_F1","Tanzania"
"33","KR534245",0,119,12042,11923,2011,"AF1b_C1.1.1","Tanzania"
"34","KR534246",0,119,12042,11923,2011,"AF1b_C1.1.1","Tanzania"
"35","KR906771",0,128,12042,11914,2011,"AF1b_C1.1.1","Tanzania"
"36","KR534247",0,115,12042,11927,2011,"AF1b_C1.1","Tanzania"
"37","KY210238",0,119,12042,11923,2011,"AF1b_C1.1","Tanzania"
"38","KY210229",0,119,12042,11923,2011,"AF1b_C1.1","Tanzania"
"39","KY210291",0,119,12042,11923,2012,"AF1b_C1.1","Tanzania"
"40","KR534254",0,119,12042,11923,2011,"AF1b_C1.1","Tanzania"
"41","KR906782",0,125,12042,11917,2012,"AF1b_C1","Tanzania"
"42","KY210259",0,246,12042,11796,2013,"AF1b_C1","Tanzania"
"43","MN726811",0,243,12042,11799,2017,"AF1b_A1.1.2","Tanzania"
"44","MN726832",1,244,12042,11797,2017,"AF1b_A1.1.2","Tanzania"
"45","MN726822",0,244,12042,11798,2018,"AF1b_A1.1.2","Tanzania"
"46","KR534229",0,117,12042,11925,2010,"AF1b_A1.1.4","Tanzania"
"47","KR534233",0,119,12042,11923,2011,"AF1b_A1.1.4","Tanzania"
"48","KR906760",0,118,12042,11924,2010,"AF1b_A1.1.4","Tanzania"
"49","KR906772",0,119,12042,11923,2011,"AF1b_A1.1.4","Tanzania"
"50","KR534232",0,116,12042,11926,2011,"AF1b_A1.1.4","Tanzania"
