"","ID","lineage"
"1","DQ837384","Cosmopolitan ME1a_A1.1.4"
"2","DQ837456","Cosmopolitan ME1a_A1.1.4"
"3","DQ837414","Cosmopolitan ME1a_A1.1.4"
"4","DQ837420","Cosmopolitan ME1a_A1.1.4"
"5","DQ837452","Cosmopolitan ME1a_A1.1.4"
"6","DQ837487","Cosmopolitan ME1a_A1.1.4"
"7","DQ837388","Cosmopolitan ME1a_A1.1.4"
"8","DQ837386","Cosmopolitan ME1a_A1.1.4"
"9","DQ837415","Cosmopolitan ME1a_A1.1.4"
"10","DQ837398","Cosmopolitan ME1a_A1.1.4"
"11","DQ837472","Cosmopolitan ME1a_A1.1.4"
"12","DQ837400","Cosmopolitan ME1a_A1.1.4"
"13","DQ837429","Cosmopolitan ME1a_A1.1.4"
"14","DQ837440","Cosmopolitan ME1a_A1.1.4"
"15","DQ837485","Cosmopolitan ME1a_A1.1.4"
"16","DQ837401","Cosmopolitan ME1a_A1.1.4"
"17","DQ837399","Cosmopolitan ME1a_A1.1.4"
"18","DQ837385","Cosmopolitan ME1a_A1.1.4"
"19","DQ837410","Cosmopolitan ME1a_A1.1.4"
"20","DQ837418","Cosmopolitan ME1a_A1.1.4"
"21","DQ837451","Cosmopolitan ME1a_A1.1.4"
"22","DQ837482","Cosmopolitan ME1a_A1.1.4"
"23","DQ837403","Cosmopolitan ME1a_A1.1.4"
"24","DQ837457","Cosmopolitan ME1a_A1.1.4"
"25","DQ837459","Cosmopolitan ME1a_A1.1.4"
"26","DQ837481","Cosmopolitan ME1a_A1.1.4"
"27","DQ837402","Cosmopolitan ME1a_A1.1.4"
"28","DQ837405","Cosmopolitan ME1a_A1.1.4"
"29","DQ837406","Cosmopolitan ME1a_A1.1.4"
"30","DQ837407","Cosmopolitan ME1a_A1.1.4"
"31","DQ837391","Cosmopolitan ME1a_A1.1.4"
"32","DQ837458","Cosmopolitan ME1a_A1.1.4"
"33","DQ837396","Cosmopolitan ME1a_A1.1.4"
"34","DQ837409","Cosmopolitan ME1a_A1.1.4"
"35","DQ837416","Cosmopolitan ME1a_A1.1.4"
"36","DQ837417","Cosmopolitan ME1a_A1.1.4"
"37","DQ837446","Cosmopolitan ME1a_A1.1.4"
"38","DQ837428","Cosmopolitan ME1a_A1.1.4"
"39","DQ837460","Cosmopolitan ME1a_A1.1.4"
"40","DQ837449","Cosmopolitan ME1a_A1.1.4"
"41","DQ837404","Cosmopolitan ME1a_A1.1.4"
"42","DQ837383","Cosmopolitan ME1a_A1.1.4"
"43","DQ837433","Cosmopolitan ME1a_A1.1.4"
"44","DQ837438","Cosmopolitan ME1a_A1.1.4"
"45","DQ837425","Cosmopolitan ME1a_A1.1.4"
"46","DQ837426","Cosmopolitan ME1a_A1.1.4"
"47","DQ837470","Cosmopolitan ME1a_A1.1.4"
"48","DQ837471","Cosmopolitan ME1a_A1.1.4"
"49","DQ837439","Cosmopolitan ME1a_A1.1.4"
"50","DQ837444","Cosmopolitan ME1a_A1.1.4"
"51","DQ837389","Cosmopolitan ME1a_A1.1.4"
"52","DQ837390","Cosmopolitan ME1a_A1.1.4"
"53","DQ837465","Cosmopolitan ME1a_A1.1.4"
"54","DQ837466","Cosmopolitan ME1a_A1.1.4"
"55","DQ837411","Cosmopolitan ME1a_A1.1.4"
"56","DQ837419","Cosmopolitan ME1a_A1.1.4"
"57","DQ837473","Cosmopolitan ME1a_A1.1.4"
