"ID","N","gap","Length_before","Length_after","Year","cluster"
"AB009663",0,1,1354,1353,1997,NA
"AB044824",0,1,1354,1353,2000,NA
"AB085828",0,1,1354,1353,2003,29
"AB128149",0,1,1354,1353,2003,NA
"AB362483",0,1,1354,1353,2009,31
"AB517659",0,1,1354,1353,2012,31
"AB517660",0,1,1354,1353,2012,31
"AB645847",0,1,1354,1353,2012,9
"AB839169",0,1,1354,1353,2013,29
"AB839170",0,1,1354,1353,2013,29
"DQ099524",0,1,1354,1353,2005,29
"DQ099525",0,1,1354,1353,2005,29
"DQ875050",0,1,1354,1353,2006,29
"DQ875051",0,1,1354,1353,2006,NA
"EF542830",0,1,1354,1353,2008,1
"EU293115",0,1,1354,1353,1991,32
"FJ577895",0,1,1354,1353,2009,29
"GQ412744",0,1,1354,1353,1931,NA
"GQ918139",0,1,1354,1353,2010,29
"GU565703",0,1,1354,1353,1948,29
"GU565704",0,1,1354,1353,1948,29
"HM535790",0,1,1354,1353,2010,29
"HQ450386",0,1,1354,1353,2011,30
"HQ891318",0,1,1354,1353,2011,29
"JN234411",0,1,1354,1353,1931,NA
"JQ685894",0,1,1354,1353,1994,9
"JQ685899",0,1,1354,1353,2009,16
"JQ685943",0,1,1354,1353,2009,16
"JQ685944",0,1,1354,1353,1984,9
"JQ685967",0,1,1354,1353,2012,9
"JQ685970",0,1,1354,1353,1974,9
"JQ944704",0,1,1354,1353,2009,35
"JQ944705",0,1,1354,1353,2008,18
"JQ944706",0,1,1354,1353,2008,26
"JQ944708",0,1,1354,1353,2008,7
"JQ944709",0,1,1354,1353,2008,29
"JX473838",0,1,1354,1353,2009,27
"JX473839",0,1,1354,1353,2009,27
"JX473840",0,1,1354,1353,2009,27
"JX473841",0,1,1354,1353,2009,27
"KC252633",0,4,1354,1350,2011,13
"KC595280",0,1,1354,1353,2011,18
"KC595281",0,1,1354,1353,2011,18
"KC595282",0,1,1354,1353,2011,18
"KC595283",0,1,1354,1353,2011,18
"KC737850",0,1,1354,1353,2011,31
"KF154997",0,1,1354,1353,2013,35
"KF154998",0,1,1354,1353,1950,9
"KF155000",0,1,1354,1353,2010,26
"KF155001",0,1,1354,1353,2009,1
"KF155002",0,1,1354,1353,2010,43
"KM016899",0,1,1354,1353,2014,13
