"ID","cluster"
"KX148212","Cosmopolitan CA2_A1"
"MK760766","Cosmopolitan CA2_A1"
"KF155000","Cosmopolitan CA2_A1.1"
"JQ944706","Cosmopolitan CA2_A1.1"
"KY860610","Cosmopolitan CA2_A1.1"
"MK760675","Cosmopolitan CA2_A1.1.1"
"MK760676","Cosmopolitan CA2_A1.1.1"
"MK760679","Cosmopolitan CA2_A1.1.1"
"MK760682","Cosmopolitan CA2_A1.1.1"
"MK760684","Cosmopolitan CA2_A1.1.1"
"MK760690","Cosmopolitan CA2_A1.1.1"
"MK760747","Cosmopolitan CA2_A1.1.1"
"MK760756","Cosmopolitan CA2_A1.1.1"
"MK760757","Cosmopolitan CA2_A1.1.1"
"MK760760","Cosmopolitan CA2_A1.1.1"
