"","ID","lineage"
"1","HM179505","Cosmopolitan AF1b_E1.1"
"2","HM179508","Cosmopolitan AF1b_E1.1"
"3","U22484","Cosmopolitan AF1b_A1.2.1"
"4","U22633","Cosmopolitan AF1b_A1"
"5","KY553267","Cosmopolitan AF1b_A1.2.1"
"6","KY553271","Cosmopolitan AF1b_A1.2.1"
"7","KY553269","Cosmopolitan AF1b_A1.2.1"
"8","HM179504","Cosmopolitan AF1b_A1.2.1"
"9","HM179507","Cosmopolitan AF1b_A1.3.1"
"10","KY553256","Cosmopolitan AF1b_A1.3.1"
"11","KY553257","Cosmopolitan AF1b_A1.3.1"
"12","KY553259","Cosmopolitan AF1b_A1.3.1"
"13","KY553264","Cosmopolitan AF1b_A1.3.1"
"14","KY553260","Cosmopolitan AF1b_A1.3.1"
"15","KY553262","Cosmopolitan AF1b_A1.3.1"
"16","KY553263","Cosmopolitan AF1b_A1.3.1"
"17","KY563717","Cosmopolitan AF1b_A1.2"
"18","KY553272","Cosmopolitan AF1b_A1"
"19","HM179506","Cosmopolitan AF1b_A1"
"20","KY553261","Cosmopolitan AF1b_A1"
"21","KY553265","Cosmopolitan AF1b_A1"
"22","KY563718","Cosmopolitan AF1b_A1"
"23","KY553268","Cosmopolitan AF1b_A1"
"24","KY553270","Cosmopolitan AF1b_A1"
"25","KY553258","Cosmopolitan AF1b_A1.3"
"26","AB284509","Cosmopolitan AF1b_A1.3"
"27","AB284510","Cosmopolitan AF1b_A1.3"
"28","AB285215","Cosmopolitan AF1b_A1.3"
"29","AB284511","Cosmopolitan AF1b_A1.3"
"30","AB284515","Cosmopolitan AF1b_A1.3"
"31","AB284512","Cosmopolitan AF1b_A1.3"
"32","AB284514","Cosmopolitan AF1b_A1.3"
"33","AB284513","Cosmopolitan AF1b_A1.3"
"34","AB284516","Cosmopolitan AF1b_A1.3"
"35","DQ900554","Cosmopolitan AF1b_A1.1.1"
"36","DQ900567","Cosmopolitan AF1b_C1"
"37","MN726834","Cosmopolitan AF1b_A1.1.1"
"38","DQ900555","Cosmopolitan AF1b_B1.2"
"39","LC029893","Cosmopolitan AF1b_A1.1"
"40","LC029897","Cosmopolitan AF1b_A1.1"
"41","EU853582","Cosmopolitan AF1b_A1.1"
"42","EU853583","Cosmopolitan AF1b_A1.1"
"43","MN726813","Cosmopolitan AF1b_A1.1"
"44","DQ900568","Cosmopolitan AF1b_A1.1"
"45","DQ900556","Cosmopolitan AF1b_A1.4"
"46","DQ900558","Cosmopolitan AF1b_A1.4"
"47","DQ900547","Cosmopolitan AF1b_A1.4"
"48","DQ900548","Cosmopolitan AF1b_A1.4"
"49","DQ900559","Cosmopolitan AF1b_A1.4"
"50","DQ900560","Cosmopolitan AF1b_A1.4"
"51","DQ900549","Cosmopolitan AF1b_A1.4"
"52","DQ900557","Cosmopolitan AF1b_A1.4"
"53","DQ900552","Cosmopolitan AF1b_A1.4"
"54","DQ900550","Cosmopolitan AF1b_A1.4"
"55","DQ900570","Cosmopolitan AF1b_A1.4"
"56","DQ900569","Cosmopolitan AF1b_A1.4"
"57","U22645","Cosmopolitan AF1b_A1.4"
"58","U22647","Cosmopolitan AF1b_A1.4"
"59","U22648","Cosmopolitan AF1b_A1.4"
"60","DQ900565","Cosmopolitan AF1b_A1.4"
"61","DQ900563","Cosmopolitan AF1b_A1.4"
"62","DQ900564","Cosmopolitan AF1b_A1.4"
"63","DQ900561","Cosmopolitan AF1b_A1.4"
"64","DQ900553","Cosmopolitan AF1b_A1.4"
"65","EU853584","Cosmopolitan AF1b_A1.4"
"66","EU853585","Cosmopolitan AF1b_A1.4"
"67","EU853586","Cosmopolitan AF1b_A1.4"
"68","KT119634","Cosmopolitan AF1b_A1.4"
"69","KT119635","Cosmopolitan AF1b_A1.4"
"70","KT119636","Cosmopolitan AF1b_A1.4"
"71","KT119638","Cosmopolitan AF1b_A1.4"
"72","KT119639","Cosmopolitan AF1b_A1.4"
"73","KT119641","Cosmopolitan AF1b_A1.4"
"74","KT119642","Cosmopolitan AF1b_A1.4"
"75","KT119643","Cosmopolitan AF1b_A1.4"
"76","KT119644","Cosmopolitan AF1b_A1.4"
"77","KT119645","Cosmopolitan AF1b_A1.4"
"78","KT119646","Cosmopolitan AF1b_A1.4"
"79","KT119651","Cosmopolitan AF1b_A1.4"
"80","KT119653","Cosmopolitan AF1b_A1.4"
"81","KT119654","Cosmopolitan AF1b_A1.4"
"82","KT119655","Cosmopolitan AF1b_A1.4"
"83","KT119656","Cosmopolitan AF1b_A1.4"
"84","KT119657","Cosmopolitan AF1b_A1.4"
"85","KT119664","Cosmopolitan AF1b_A1.4"
"86","KT119648","Cosmopolitan AF1b_A1.4"
"87","KT119649","Cosmopolitan AF1b_A1.4"
"88","EU853587","Cosmopolitan AF1b_A1.4"
"89","EU853588","Cosmopolitan AF1b_A1.4"
"90","EU853589","Cosmopolitan AF1b_A1.4"
"91","EU853590","Cosmopolitan AF1b_A1.4"
"92","KT119647","Cosmopolitan AF1b_A1.4"
"93","KT119652","Cosmopolitan AF1b_A1.4"
"94","KT119663","Cosmopolitan AF1b_A1.4"
"95","KT119665","Cosmopolitan AF1b_A1.4"
"96","KT119659","Cosmopolitan AF1b_A1.4"
"97","KT119661","Cosmopolitan AF1b_A1.4"
"98","KT119662","Cosmopolitan AF1b_A1.4"
"99","KT119666","Cosmopolitan AF1b_A1.4"
"100","KT119668","Cosmopolitan AF1b_A1.4"
"101","KT119669","Cosmopolitan AF1b_A1.4"
"102","KT119671","Cosmopolitan AF1b_A1.4"
"103","KT119672","Cosmopolitan AF1b_A1.4"
"104","KT119673","Cosmopolitan AF1b_A1.4"
"105","KT119674","Cosmopolitan AF1b_A1.4"
"106","KT119675","Cosmopolitan AF1b_A1.4"
"107","KT119676","Cosmopolitan AF1b_A1.4"
"108","KT119677","Cosmopolitan AF1b_A1.4"
"109","KT119678","Cosmopolitan AF1b_A1.4"
"110","KT119679","Cosmopolitan AF1b_A1.4"
"111","KT119680","Cosmopolitan AF1b_A1.4"
"112","KT119681","Cosmopolitan AF1b_A1.4"
"113","KT119683","Cosmopolitan AF1b_A1.4"
"114","KT119684","Cosmopolitan AF1b_A1.4"
"115","KT119685","Cosmopolitan AF1b_A1.4"
"116","KT119686","Cosmopolitan AF1b_A1.4"
"117","KT119687","Cosmopolitan AF1b_A1.4"
"118","KT119688","Cosmopolitan AF1b_A1.4"
"119","KT119689","Cosmopolitan AF1b_A1.4"
"120","KT119690","Cosmopolitan AF1b_A1.4"
"121","KT119691","Cosmopolitan AF1b_A1.4"
"122","KT119692","Cosmopolitan AF1b_A1.4"
"123","KT119694","Cosmopolitan AF1b_A1.4"
"124","KT119695","Cosmopolitan AF1b_A1.4"
"125","KT119697","Cosmopolitan AF1b_A1.4"
"126","KT119699","Cosmopolitan AF1b_A1.4"
"127","KT119700","Cosmopolitan AF1b_A1.4"
"128","KT119702","Cosmopolitan AF1b_A1.4"
"129","KT119703","Cosmopolitan AF1b_A1.4"
"130","KT119704","Cosmopolitan AF1b_A1.4"
"131","KT119705","Cosmopolitan AF1b_A1.4"
"132","KT119706","Cosmopolitan AF1b_A1.4"
"133","KT119707","Cosmopolitan AF1b_A1.4"
"134","KT119708","Cosmopolitan AF1b_A1.4"
"135","KT119709","Cosmopolitan AF1b_A1.4"
"136","KT119711","Cosmopolitan AF1b_A1.4"
"137","KT119713","Cosmopolitan AF1b_A1.4"
"138","KT119717","Cosmopolitan AF1b_A1.4"
"139","KT119718","Cosmopolitan AF1b_A1.4"
"140","KT119726","Cosmopolitan AF1b_A1.4"
"141","KT119727","Cosmopolitan AF1b_A1.4"
"142","KT119729","Cosmopolitan AF1b_A1.4"
"143","KT119734","Cosmopolitan AF1b_A1.4"
"144","KT119735","Cosmopolitan AF1b_A1.4"
"145","KT119737","Cosmopolitan AF1b_A1.4"
"146","KT119738","Cosmopolitan AF1b_A1.4"
"147","KT119739","Cosmopolitan AF1b_A1.4"
"148","KT119740","Cosmopolitan AF1b_A1.4"
"149","KT119741","Cosmopolitan AF1b_A1.4"
"150","KT119742","Cosmopolitan AF1b_A1.4"
"151","KT119743","Cosmopolitan AF1b_A1.4"
"152","KT119744","Cosmopolitan AF1b_A1.4"
"153","KT119745","Cosmopolitan AF1b_A1.4"
"154","KT119746","Cosmopolitan AF1b_A1.4"
"155","KT119747","Cosmopolitan AF1b_A1.4"
"156","KT119748","Cosmopolitan AF1b_A1.4"
"157","KT119749","Cosmopolitan AF1b_A1.4"
"158","KT119750","Cosmopolitan AF1b_A1.4"
"159","KT119660","Cosmopolitan AF1b_A1.4"
"160","KT119670","Cosmopolitan AF1b_A1.4"
"161","KT119682","Cosmopolitan AF1b_A1.4"
"162","KT119712","Cosmopolitan AF1b_A1.4"
"163","KT119730","Cosmopolitan AF1b_A1.4"
"164","KT119714","Cosmopolitan AF1b_A1.4"
"165","KT119722","Cosmopolitan AF1b_A1.4"
"166","KT119723","Cosmopolitan AF1b_A1.4"
"167","KT119724","Cosmopolitan AF1b_A1.4"
"168","KT119731","Cosmopolitan AF1b_A1.4"
"169","KT119732","Cosmopolitan AF1b_A1.4"
"170","KT119733","Cosmopolitan AF1b_A1.4"
"171","KT119736","Cosmopolitan AF1b_A1.4"
"172","KT119725","Cosmopolitan AF1b_A1.4"
"173","KT119667","Cosmopolitan AF1b_A1.4"
"174","KT119693","Cosmopolitan AF1b_A1.4"
"175","KT119696","Cosmopolitan AF1b_A1.4"
"176","KT119701","Cosmopolitan AF1b_A1.4"
"177","KT119698","Cosmopolitan AF1b_A1.4"
"178","KT119715","Cosmopolitan AF1b_A1.4"
"179","KT119719","Cosmopolitan AF1b_A1.4"
"180","KT119720","Cosmopolitan AF1b_A1.4"
"181","KT119751","Cosmopolitan AF1b_A1.4"
"182","KT119716","Cosmopolitan AF1b_A1.4"
"183","KT119721","Cosmopolitan AF1b_A1.4"
"184","KT119710","Cosmopolitan AF1b_A1.4"
"185","KT119752","Cosmopolitan AF1b_A1.4"
"186","KT119753","Cosmopolitan AF1b_A1.4"
"187","KT119650","Cosmopolitan AF1b_A1.4"
"188","KT119637","Cosmopolitan AF1b_A1.4"
"189","KT119640","Cosmopolitan AF1b_A1.4"
"190","KT119781","Cosmopolitan AF1b_A1.4"
"191","KT119780","Cosmopolitan AF1b_A1.4"
"192","KT119776","Cosmopolitan AF1b_A1.4"
"193","U22638","Cosmopolitan AF1b_A1.4"
