"ID","n_N","n_gap","length","year","lineage","previous"
"AB009663",0,16,11920,1997,NA,"Cosmopolitan"
"AB044824",0,16,11920,2000,NA,"Cosmopolitan"
"AB085828",0,383,11553,2003,"A1.3.1","Cosmopolitan"
"AB128149",0,16,11920,2003,NA,"Cosmopolitan"
"AB839170",0,427,11509,2013,"A1.3.1","Cosmopolitan"
"DQ099524",0,230,11706,2005,"A1.3.1","Cosmopolitan"
"DQ099525",0,218,11718,2005,"A1.3.1","Cosmopolitan"
"DQ875050",0,133,11803,2006,"A1.3.1","Cosmopolitan"
"DQ875051",0,136,11800,2006,"A1","Cosmopolitan"
"EF542830",0,10,11926,2008,"A1","Cosmopolitan"
"FJ577895",0,14,11922,2009,"A1.3.1","Cosmopolitan"
"GQ412744",0,15,11921,1931,"A1","Cosmopolitan"
"GQ918139",0,13,11923,2010,"A1.3.1","Cosmopolitan"
"GU565703",0,13,11923,1948,"A1.3.1","Cosmopolitan"
"GU565704",0,14,11922,1948,"A1.3.1","Cosmopolitan"
"HM535790",0,13,11923,2010,"A1.3.1","Cosmopolitan"
"HQ891318",0,13,11923,2011,"A1.3.1","Cosmopolitan"
"JN234411",0,15,11921,1931,"A1","Cosmopolitan"
"JQ944709",0,13,11923,2008,"A1.3.1","Cosmopolitan"
"KM198893",0,10,11926,2014,"A1","Cosmopolitan"
"KX708499",0,147,11789,2015,"A1.3","Cosmopolitan"
"KX708500",0,146,11790,2014,"A1.3","Cosmopolitan"
"KX708501",0,147,11789,2013,"A1.3","Cosmopolitan"
"KY765901",0,17,11919,2012,"B1.1","Cosmopolitan"
"LC325820",0,13,11923,2018,"A1.3.1","Cosmopolitan"
"LN879480",0,15,11921,2002,"B1.1","Cosmopolitan"
"LT839616",0,13,11923,2017,"A1.3.1","Cosmopolitan"
"LT909530",0,16,11920,2018,"A1.3.2","Cosmopolitan"
"LT909543",0,16,11920,2018,"A1.3.2","Cosmopolitan"
"MG458312",0,17,11919,1997,"A1.1.1","Cosmopolitan"
"MG458319",0,12,11924,2012,"A1","Cosmopolitan"
"KF155001",0,132,11804,2009,"Cosmopolitan AF1a_A1","Cosmopolitan AF1a"
"KP723638",0,134,11802,2014,"Cosmopolitan AF1a_A1.1","Cosmopolitan AF1a"
"KX148193",0,132,11804,2008,"Cosmopolitan AF1a_A1","Cosmopolitan AF1a"
"KX148194",0,131,11805,1989,"Cosmopolitan AF1a_A1","Cosmopolitan AF1a"
"KX148195",0,132,11804,2004,"Cosmopolitan AF1a_A1","Cosmopolitan AF1a"
"KX148196",0,132,11804,1990,"Cosmopolitan AF1a_A1","Cosmopolitan AF1a"
"KX148197",0,132,11804,2015,"Cosmopolitan AF1a_A1","Cosmopolitan AF1a"
"KX148198",0,133,11803,1993,"Cosmopolitan AF1a_A1.1","Cosmopolitan AF1a"
"KX148199",0,133,11803,1993,"Cosmopolitan AF1a_A1.1","Cosmopolitan AF1a"
"KX148200",0,132,11804,1988,"Cosmopolitan AF1a_A1.1","Cosmopolitan AF1a"
"KX148201",0,134,11802,1986,"A1","Cosmopolitan AF1a"
"KX148202",0,133,11803,1995,"A1","Cosmopolitan AF1a"
"LT909529",0,133,11803,2018,"Cosmopolitan AF1a_A1","Cosmopolitan AF1a"
"LT909531",0,132,11804,2018,"Cosmopolitan AF1a_A1.1","Cosmopolitan AF1a"
"LT909535",0,133,11803,2018,"Cosmopolitan AF1a_A1","Cosmopolitan AF1a"
"LT909542",0,133,11803,2018,"Cosmopolitan AF1a_A1","Cosmopolitan AF1a"
"LT909546",0,133,11803,2018,"A1","Cosmopolitan AF1a"
"LT909551",0,132,11804,2018,"Cosmopolitan AF1a_A1.1","Cosmopolitan AF1a"
"MK981888",0,140,11796,1993,"Cosmopolitan AF1a_A1","Cosmopolitan AF1a"
"MN726805",4,135,11797,2017,"Cosmopolitan AF1a_A1.1","Cosmopolitan AF1a"
"MN726810",314,733,10889,2015,"Cosmopolitan AF1a_A1.1","Cosmopolitan AF1a"
"MN726812",8,135,11793,2017,"Cosmopolitan AF1a_A1.1","Cosmopolitan AF1a"
