"ID","N","gap","Length_before","Length_after","Year","cluster"
"AB009663",0,116,12042,11926,1997,NA
"AB044824",0,116,12042,11926,2000,NA
"AB085828",0,427,12042,11615,2003,47
"AB128149",0,116,12042,11926,2003,NA
"AB362483",0,118,12042,11924,2009,49
"AB517659",0,119,12042,11923,2012,49
"AB517660",0,117,12042,11925,2012,49
"AB645847",0,119,12042,11923,2012,17
"AB839169",0,2027,12042,10015,2013,47
"AB839170",0,408,12042,11634,2013,47
"DQ099524",0,331,12042,11711,2005,47
"DQ099525",0,319,12042,11723,2005,47
"DQ875050",0,173,12042,11869,2006,47
"DQ875051",0,179,12042,11863,2006,1
"EF542830",0,110,12042,11932,2008,2
"EU293115",0,119,12042,11923,1991,50
"FJ577895",0,118,12042,11924,2009,47
"GQ412744",0,117,12042,11925,1931,1
"GQ918139",0,115,12042,11927,2010,47
"GU565703",0,117,12042,11925,1948,47
"GU565704",0,117,12042,11925,1948,47
"HM535790",0,115,12042,11927,2010,47
"HQ450386",0,118,12042,11924,2011,48
"HQ891318",0,115,12042,11927,2011,47
"JN234411",0,117,12042,11925,1931,1
"JQ685894",0,119,12042,11923,1994,20
"JQ685899",0,112,12042,11930,2009,41
"JQ685943",0,117,12042,11925,2009,41
"JQ685944",0,117,12042,11925,1984,17
"JQ685967",0,119,12042,11923,2012,17
"JQ685970",0,119,12042,11923,1974,20
"JQ944704",0,119,12042,11923,2009,53
"JQ944705",0,119,12042,11923,2008,35
"JQ944706",0,119,12042,11923,2008,36
"JQ944708",0,128,12042,11914,2008,21
"JQ944709",0,115,12042,11927,2008,47
"JX473838",0,119,12042,11923,2009,37
"JX473839",0,119,12042,11923,2009,37
"JX473840",0,119,12042,11923,2009,37
"JX473841",0,119,12042,11923,2009,37
"KC252633",0,125,12042,11917,2011,30
"KC595280",0,246,12042,11796,2011,35
"KC595281",0,243,12042,11799,2011,35
"KC595282",1,244,12042,11797,2011,35
"KC595283",0,244,12042,11798,2011,35
"KC737850",0,117,12042,11925,2011,49
"KF154997",0,119,12042,11923,2013,53
"KF154998",0,118,12042,11924,1950,20
"KF155000",0,119,12042,11923,2010,36
"KF155001",0,116,12042,11926,2009,40
"KF155002",0,119,12042,11923,2010,63
"KM016899",0,119,12042,11923,2014,30
"KM198893",0,110,12042,11932,2014,2
"KM594039",0,161,12042,11881,2009,49
"KP723638",0,116,12042,11926,2014,68
"KP997032",0,169,12042,11873,2014,35
"KR534217",0,119,12042,11923,2008,13
"KR534218",0,119,12042,11923,2008,13
"KR534219",0,119,12042,11923,2007,67
"KR534220",0,119,12042,11923,2008,13
"KR534228",0,128,12042,11914,2010,67
"KR534229",0,193,12042,11849,2010,28
"KR534230",0,157,12042,11885,2010,67
"KR534231",0,158,12042,11884,2010,67
"KR534232",0,119,12042,11923,2011,28
"KR534233",0,119,12042,11923,2011,28
"KR534234",0,119,12042,11923,2011,67
"KR534235",0,119,12042,11923,2011,65
"KR534236",0,119,12042,11923,2011,65
"KR534237",0,119,12042,11923,2011,65
"KR534238",0,175,12042,11867,2011,67
"KR534244",0,128,12042,11914,2011,64
"KR534245",0,119,12042,11923,2011,64
"KR534246",0,119,12042,11923,2011,64
"KR534247",0,119,12042,11923,2011,45
"KR534248",0,119,12042,11923,2011,64
"KR534249",0,125,12042,11917,2011,64
"KR534250",0,119,12042,11923,2011,65
"KR534251",0,119,12042,11923,2011,67
"KR534252",0,119,12042,11923,2011,67
"KR534253",0,120,12042,11922,2011,46
"KR534254",0,119,12042,11923,2011,45
"KR534256",0,121,12042,11921,2011,65
"KR906734",0,119,12042,11923,2008,67
"KR906735",0,139,12042,11903,2008,7
"KR906736",0,119,12042,11923,2008,7
"KR906737",1,122,12042,11919,2008,13
"KR906738",0,119,12042,11923,2004,13
"KR906739",0,119,12042,11923,2004,67
"KR906740",5,128,12042,11909,2009,63
"KR906741",0,119,12042,11923,2003,27
"KR906742",0,119,12042,11923,2009,63
"KR906743",2,128,12042,11912,2010,67
"KR906744",0,128,12042,11914,2010,67
"KR906745",0,128,12042,11914,2010,8
"KR906746",0,167,12042,11875,2010,62
"KR906747",0,119,12042,11923,2010,62
"KR906748",0,119,12042,11923,2010,6
"KR906749",0,164,12042,11878,2010,27
"KR906750",0,188,12042,11854,2010,63
"KR906751",0,127,12042,11915,2011,62
"KR906752",0,119,12042,11923,2011,6
"KR906753",0,120,12042,11922,2011,27
"KR906754",0,177,12042,11865,2011,63
"KR906755",0,119,12042,11923,2011,64
"KR906756",1,119,12042,11922,2011,28
"KR906757",8,152,12042,11882,2010,62
"KR906758",2,217,12042,11823,2010,64
"KR906759",113,213,12042,11716,2010,67
"KR906760",0,122,12042,11920,2010,28
"KR906761",170,197,12042,11675,2010,27
