Cosmo_WGS_sequence_data
ID	N	gap	Length_before	Length_after	Year	cluster
AB009663	0	116	12042	11926	1997	NA
AB044824	0	116	12042	11926	2000	NA
AB085828	0	427	12042	11615	2003	F1
AB128149	0	116	12042	11926	2003	NA
AB362483	0	118	12042	11924	2009	D1.1.2
AB517659	0	119	12042	11923	2012	D1.1.2
AB517660	0	117	12042	11925	2012	D1.1.2
AB645847	0	119	12042	11923	2012	D1
AB839169	0	2027	12042	10015	2013	F1
AB839170	0	408	12042	11634	2013	F1
DQ099524	0	331	12042	11711	2005	F1
DQ099525	0	319	12042	11723	2005	F1
DQ875050	0	173	12042	11869	2006	F1
DQ875051	0	179	12042	11863	2006	A1
EF542830	0	110	12042	11932	2008	A1.1
EU293115	0	119	12042	11923	1991	WE_A1
FJ577895	0	118	12042	11924	2009	F1
GQ412744	0	117	12042	11925	1931	A1
GQ918139	0	115	12042	11927	2010	F1
GU565703	0	117	12042	11925	1948	F1
GU565704	0	117	12042	11925	1948	F1
HM535790	0	115	12042	11927	2010	F1
HQ450386	0	118	12042	11924	2011	AM2a_A1
HQ891318	0	115	12042	11927	2011	F1
JN234411	0	117	12042	11925	1931	A1
JQ685894	0	119	12042	11923	1994	D1.1
JQ685899	0	112	12042	11930	2009	D1.1.1
JQ685943	0	117	12042	11925	2009	D1.1.1
JQ685944	0	117	12042	11925	1984	D1
JQ685967	0	119	12042	11923	2012	D1
JQ685970	0	119	12042	11923	1974	D1.1
JQ944704	0	119	12042	11923	2009	NEE_A1.1.1
JQ944705	0	119	12042	11923	2008	CA1_A1.1
JQ944706	0	119	12042	11923	2008	CA2_A1.1
JQ944708	0	128	12042	11914	2008	B1.1.1
JQ944709	0	115	12042	11927	2008	F1
JX473838	0	119	12042	11923	2009	AF1b_A1.2
JX473839	0	119	12042	11923	2009	AF1b_A1.2
JX473840	0	119	12042	11923	2009	AF1b_A1.2
JX473841	0	119	12042	11923	2009	AF1b_A1.2
KC252633	0	125	12042	11917	2011	CA1_A1
KC595280	0	246	12042	11796	2011	CA1_A1.1
KC595281	0	243	12042	11799	2011	CA1_A1.1
KC595282	1	244	12042	11797	2011	CA1_A1.1
KC595283	0	244	12042	11798	2011	CA1_A1.1
KC737850	0	117	12042	11925	2011	D1.1.2
KF154997	0	119	12042	11923	2013	NEE_A1.1.1
KF154998	0	118	12042	11924	1950	D1.1
KF155000	0	119	12042	11923	2010	CA2_A1.1
KF155001	0	116	12042	11926	2009	AF1a_A1
KF155002	0	119	12042	11923	2010	AF1b_C1.1
KM016899	0	119	12042	11923	2014	CA1_A1
KM198893	0	110	12042	11932	2014	A1.1
KM594039	0	161	12042	11881	2009	D1.1.2
KP723638	0	116	12042	11926	2014	AF1a_A1.1
KP997032	0	169	12042	11873	2014	CA1_A1.1
KR534217	0	119	12042	11923	2008	AF1b_B1
KR534218	0	119	12042	11923	2008	AF1b_B1
KR534219	0	119	12042	11923	2007	AF1b_A1.2
KR534220	0	119	12042	11923	2008	AF1b_B1
KR534228	0	128	12042	11914	2010	AF1b_A1.2
KR534229	0	193	12042	11849	2010	AF1b_B1.1
KR534230	0	157	12042	11885	2010	AF1b_A1.2
KR534231	0	158	12042	11884	2010	AF1b_A1.2
KR534232	0	119	12042	11923	2011	AF1b_B1.1
KR534233	0	119	12042	11923	2011	AF1b_B1.1
KR534234	0	119	12042	11923	2011	AF1b_A1.2
KR534235	0	119	12042	11923	2011	AF1b_B1.3
KR534236	0	119	12042	11923	2011	AF1b_B1.3
KR534237	0	119	12042	11923	2011	AF1b_B1.3
KR534238	0	175	12042	11867	2011	AF1b_A1.2
KR534244	0	128	12042	11914	2011	AF1b_D1.1.1
KR534245	0	119	12042	11923	2011	AF1b_D1.1.1
KR534246	0	119	12042	11923	2011	AF1b_D1.1.1
KR534247	0	119	12042	11923	2011	AF1b_D1.1
KR534248	0	119	12042	11923	2011	AF1b_D1.1.1
KR534249	0	125	12042	11917	2011	AF1b_D1.1.1
KR534250	0	119	12042	11923	2011	AF1b_B1.3
KR534251	0	119	12042	11923	2011	AF1b_A1.2
KR534252	0	119	12042	11923	2011	AF1b_A1.2
KR534253	0	120	12042	11922	2011	AF1b_B1.2.1
KR534254	0	119	12042	11923	2011	AF1b_D1.1
KR534256	0	121	12042	11921	2011	AF1b_B1.3
KR906734	0	119	12042	11923	2008	AF1b_A1.2
KR906735	0	139	12042	11903	2008	AF1b_A1.1
KR906736	0	119	12042	11923	2008	AF1b_A1.1
KR906737	1	122	12042	11919	2008	AF1b_B1
KR906738	0	119	12042	11923	2004	AF1b_B1
KR906739	0	119	12042	11923	2004	AF1b_A1.2
KR906740	5	128	12042	11909	2009	AF1b_C1.1
KR906741	0	119	12042	11923	2003	AF1b_C1
