"ID","cluster"
"KX148155","Cosmopolitan NEE_A1"
"KX148156","Cosmopolitan NEE_A1"
"KX148157","Cosmopolitan NEE_A1"
"KX148158","Cosmopolitan NEE_A1"
"KX148151","Cosmopolitan NEE_A1.1"
"KX148152","Cosmopolitan NEE_A1.1"
"KX148153","Cosmopolitan NEE_A1.1"
"KX148154","Cosmopolitan NEE_A1.1"
"MF197743","Cosmopolitan NEE_A1.1.1"
"MK598346","Cosmopolitan NEE_A1.1.1"
"MK598347","Cosmopolitan NEE_A1.1.1"
"MK598348","Cosmopolitan NEE_A1.1.1"
"MK598349","Cosmopolitan NEE_A1.1.1"
"MK598350","Cosmopolitan NEE_A1.1.1"
"MK598381","Cosmopolitan NEE_A1.1.1"
"MK598351","Cosmopolitan NEE_B1"
"MK598352","Cosmopolitan NEE_B1"
"MK598353","Cosmopolitan NEE_B1"
"MK598354","Cosmopolitan NEE_B1"
"MK598355","Cosmopolitan NEE_B1"
"MK598356","Cosmopolitan NEE_B1"
"MK598357","Cosmopolitan NEE_B1"
"MK598358","Cosmopolitan NEE_B1"
"MK598359","Cosmopolitan NEE_B1"
"MK598360","Cosmopolitan NEE_B1"
"MK598361","Cosmopolitan NEE_B1"
"MK598362","Cosmopolitan NEE_B1"
"MK598363","Cosmopolitan NEE_B1"
"MK598364","Cosmopolitan NEE_B1"
"MK598365","Cosmopolitan NEE_B1"
"MK598366","Cosmopolitan NEE_B1"
"MK598367","Cosmopolitan NEE_B1"
"MK598368","Cosmopolitan NEE_B1"
"MK598369","Cosmopolitan NEE_B1"
"MK598370","Cosmopolitan NEE_B1"
"MK598371","Cosmopolitan NEE_B1"
"MK598372","Cosmopolitan NEE_B1"
"MK598373","Cosmopolitan NEE_B1"
"MK598374","Cosmopolitan NEE_B1"
"MK598375","Cosmopolitan NEE_B1"
"MK598376","Cosmopolitan NEE_B1"
"MK598377","Cosmopolitan NEE_B1"
"MK598378","Cosmopolitan NEE_B1"
"MK598379","Cosmopolitan NEE_B1"
"KX148146","Cosmopolitan NEE_A1.1.2"
"KX148147","Cosmopolitan NEE_A1.1.2"
"JQ944704","Cosmopolitan NEE_A1.1.2"
"KF154997","Cosmopolitan NEE_A1.1.2"
"KX148148","Cosmopolitan NEE_A1.1.2"
"KX148149","Cosmopolitan NEE_A1.1.2"
"KX148150","Cosmopolitan NEE_A1.1.2"
"LT909532","Cosmopolitan NEE_A1.1.2"
"LT909537","Cosmopolitan NEE_A1.1.2"
"LT909538","Cosmopolitan NEE_A1.1.2"
"MK598380","Cosmopolitan NEE_C1"
"MK598382","Cosmopolitan NEE_C1"
"MK598383","Cosmopolitan NEE_C1"
"MK598384","Cosmopolitan NEE_C1"
"MK598385","Cosmopolitan NEE_C1"
"MK598386","Cosmopolitan NEE_C1"
"MK598387","Cosmopolitan NEE_C1"
"MK598388","Cosmopolitan NEE_C1"
"MK598389","Cosmopolitan NEE_C1"
"MK598390","Cosmopolitan NEE_C1"
"MK598391","Cosmopolitan NEE_C1"
"MK598392","Cosmopolitan NEE_C1"
"MK598393","Cosmopolitan NEE_C1"
"MK598394","Cosmopolitan NEE_C1"
"MK598395","Cosmopolitan NEE_C1"
"MK598396","Cosmopolitan NEE_C1"
"MK598397","Cosmopolitan NEE_C1"
